Duration (s),Method,Test-ID,Client,Server,Port,Cycle Time (ns),Datagram Size (B),QoS,Stress,Intensity,Location,Status,Losses [total],Losses [ratio](%),Losses [location],Pakets [total],PPS [udp],PPS [ip],Bandwidth [net](Mbps),Bandwidth [gross](Mbps),Timer Misses,Remarks
78.116847,CUSTOM,441618_150322_101023,10.0.0.1,10.0.0.2,8120,2500,80,False,NONE,0,BOTH,SUCCESS,72,6.545453950413277e-06,Server [NO DATA]  Route (Switch),11000001,140814,140814,90.12096,137.434464,20246703,Server data missing.
7199.889602,CUSTOM,747278_150453_101023,10.0.0.1,10.0.0.2,8120,10000,80,False,NONE,1,BOTH,SUCCESS,15,2.0833816620007204e-08,Server [NO DATA]  Route (Switch),719983298,99999,99999,63.99936,97.599024,6381,Server data missing.
7199.073423,CUSTOM,399172_170506_101023,10.0.0.1,10.0.0.2,8120,20000,80,False,NONE,1,BOTH,SUCCESS,41,1.139038849681443e-07,Server [NO DATA]  Route (Switch),359952604,49999,49999,31.99936,48.799024,1426,Server data missing.
3270.006218,CUSTOM,687030_190518_101023,10.0.0.1,10.0.0.2,8120,30000,80,False,NONE,1,BOTH,SUCCESS,94450,0.0008665137535182225,Server [NO DATA]  Route (Switch),109000001,33333,33333,21.33312,32.533008,313,Server data missing.
7199.139523,CUSTOM,766076_200001_101023,10.0.0.1,10.0.0.2,8120,40000,80,False,NONE,1,BOTH,SUCCESS,0,0.0,,179978416,24999,24999,15.99936,24.399024,251,Server data missing.
7199.073453,CUSTOM,653603_220013_101023,10.0.0.1,10.0.0.2,8120,50000,80,False,NONE,1,BOTH,SUCCESS,0,0.0,,143981444,19999,19999,12.79936,19.519024,168,Server data missing.
7199.073483,CUSTOM,212423_000025_111023,10.0.0.1,10.0.0.2,8120,60000,80,False,NONE,1,BOTH,SUCCESS,1,8.334404929447137e-09,Server [NO DATA]  Route (Switch),119984571,16666,16666,10.66624,16.266016,106,Server data missing.
7199.073354,CUSTOM,167204_020037_111023,10.0.0.1,10.0.0.2,8120,70000,80,False,NONE,1,BOTH,SUCCESS,0,0.0,,102843928,14285,14285,9.1424,13.94216,79,Server data missing.
9.89333,CUSTOM,864216_045109_111023,10.0.0.1,10.0.0.2,8120,2500,8900,False,NONE,0,BOTH,SUCCESS,43097,0.043097,Server [NO DATA]  Route (Switch),1000000,101078,101078,7196.7536,7230.715808,2557310,Server data missing.
10.00112,CUSTOM,119684_045132_111023,10.0.0.1,10.0.0.2,8120,10000,8900,False,NONE,1,BOTH,SUCCESS,20511,0.02051097948902051,Server [NO DATA]  Route (Switch),1000001,99988,99988,7119.1456,7152.741568,97,Server data missing.
60.000345,CUSTOM,877920_045155_111023,10.0.0.1,10.0.0.2,8120,20000,8900,False,NONE,1,BOTH,SUCCESS,66,2.199999266666911e-05,Server [NO DATA]  Route (Switch),3000001,49999,49999,3559.9288,3576.728464,10,Server data missing.
6900.020683,CUSTOM,623485_045308_111023,10.0.0.1,10.0.0.2,8120,30000,8900,False,NONE,1,BOTH,SUCCESS,51,2.2173912947069943e-07,Server [NO DATA]  Route (Switch),230000001,33333,33333,2373.3096,2384.509488,913,Server data missing.
7199.962163,CUSTOM,715761_064821_111023,10.0.0.1,10.0.0.2,8120,40000,8900,False,NONE,1,BOTH,SUCCESS,0,0.0,,179998885,24999,24999,1779.9288,1788.328464,348,Server data missing.
7199.073453,CUSTOM,412541_084834_111023,10.0.0.1,10.0.0.2,8120,50000,8900,False,NONE,1,BOTH,SUCCESS,0,0.0,,143981429,19999,19999,1423.9288,1430.648464,183,Server data missing.
57.007503,CUSTOM,744483_065055_121023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,736713,0.7367122632877368,Server [NO DATA]  Route (Switch),1000001,17541,140328,9121.32,9160.61184,21802847,Server data missing.
62.919602,CUSTOM,372096_110836_111023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,998942,0.998941001058999,Server [NO DATA]  Route (Switch),1000001,15893,127144,8264.36,8299.96032,24167736,Server data missing.
63.273169,CUSTOM,480510_024512_121023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,998437,0.9984360015639985,Server [NO DATA]  Route (Switch),1000001,15804,126432,8218.08,8253.48096,24309157,Server data missing.
56.999827,CUSTOM,292414_052221_121023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,998751,0.9987500012499988,Server [NO DATA]  Route (Switch),1000001,17543,140344,9122.36,9161.65632,21799766,Server data missing.
62.440075,CUSTOM,941464_110952_111023,10.0.0.1,10.0.0.2,8120,60000,65000,False,NONE,0,BOTH,SUCCESS,998958,0.998957001042999,Server [NO DATA]  Route (Switch),1000001,16015,128120,8327.8,8363.6736,40663,Server data missing.
900.042657,CUSTOM,765130_065205_121023,10.0.0.1,10.0.0.2,8120,60000,65000,False,NONE,0,BOTH,SUCCESS,50,3.333333111111126e-06,Server [NO DATA]  Route (Switch),15000001,16665,133320,8665.8,8703.1296,721,Server data missing.
70.000314,CUSTOM,693824_111107_111023,10.0.0.1,10.0.0.2,8120,70000,65000,False,NONE,0,BOTH,SUCCESS,999258,0.9992570007429993,Server [NO DATA]  Route (Switch),1000001,14285,114280,7428.2,7460.1984,1,Server data missing.
80.000198,CUSTOM,299995_111230_111023,10.0.0.1,10.0.0.2,8120,80000,65000,False,NONE,0,BOTH,SUCCESS,995119,0.9951180048819951,Server [NO DATA]  Route (Switch),1000001,12499,99992,6499.48,6527.47776,0,Server data missing.
90.000188,CUSTOM,542067_111403_111023,10.0.0.1,10.0.0.2,8120,90000,65000,False,NONE,0,BOTH,SUCCESS,988127,0.9881260118739881,Server [NO DATA]  Route (Switch),1000001,11111,88888,5777.72,5802.60864,1,Server data missing.
100.00008,CUSTOM,208148_111546_111023,10.0.0.1,10.0.0.2,8120,100000,65000,False,NONE,0,BOTH,SUCCESS,949720,0.9497190502809497,Server [NO DATA]  Route (Switch),1000001,10000,80000,5200.0,5222.4,0,Server data missing.
110.000169,CUSTOM,195235_111739_111023,10.0.0.1,10.0.0.2,8120,110000,65000,False,NONE,0,BOTH,SUCCESS,903394,0.9033930966069034,Server [NO DATA]  Route (Switch),1000001,9090,72720,4726.8,4747.1616,0,Server data missing.
120.000079,CUSTOM,534580_111942_111023,10.0.0.1,10.0.0.2,8120,120000,65000,False,NONE,0,BOTH,SUCCESS,833753,0.8337521662478338,Server [NO DATA]  Route (Switch),1000001,8333,66664,4333.16,4351.82592,0,Server data missing.
130.000042,CUSTOM,658096_112155_111023,10.0.0.1,10.0.0.2,8120,130000,65000,False,NONE,0,BOTH,SUCCESS,695456,0.6954553045446955,Server [NO DATA]  Route (Switch),1000001,7692,61536,3999.84,4017.07008,0,Server data missing.
140.000057,CUSTOM,260661_112418_111023,10.0.0.1,10.0.0.2,8120,140000,65000,False,NONE,0,BOTH,SUCCESS,135206,0.1352058647941352,Server [NO DATA]  Route (Switch),1000001,7142,57136,3713.84,3729.83808,0,Server data missing.
150.000114,CUSTOM,248266_112651_111023,10.0.0.1,10.0.0.2,8120,150000,65000,False,NONE,0,BOTH,SUCCESS,132,0.000131999868000132,Server [NO DATA]  Route (Switch),1000001,6666,53328,3466.32,3481.25184,0,Server data missing.
799.999397,CUSTOM,706422_112934_111023,10.0.0.1,10.0.0.2,8120,160000,65000,False,NONE,0,BOTH,SUCCESS,64,1.2799997440000512e-05,Server [NO DATA]  Route (Switch),5000001,6250,50000,3250.0,3264.0,0,Server data missing.
1699.999217,CUSTOM,754163_114306_111023,10.0.0.1,10.0.0.2,8120,170000,65000,False,NONE,0,BOTH,SUCCESS,54,5.399999460000054e-06,Server [NO DATA]  Route (Switch),10000001,5882,47056,3058.64,3071.81568,4,Server data missing.
3059.997112,CUSTOM,329254_121139_111023,10.0.0.1,10.0.0.2,8120,180000,65000,False,NONE,0,BOTH,SUCCESS,50,2.9411762975778647e-06,Server [NO DATA]  Route (Switch),17000001,5555,44440,2888.6,2901.0432,0,Server data missing.
4559.995797,CUSTOM,176595_130252_111023,10.0.0.1,10.0.0.2,8120,190000,65000,False,NONE,0,BOTH,SUCCESS,52,2.1666665763888926e-06,Server [NO DATA]  Route (Switch),24000001,5263,42104,2736.76,2748.54912,1,Server data missing.
7199.468403,CUSTOM,332576_141905_111023,10.0.0.1,10.0.0.2,8120,200000,65000,False,NONE,0,BOTH,SUCCESS,6,1.6667881107003992e-07,Server [NO DATA]  Route (Switch),35997377,5000,40000,2600.0,2611.2,0,Server data missing.
7139.994483,CUSTOM,817829_161918_111023,10.0.0.1,10.0.0.2,8120,210000,65000,False,NONE,0,BOTH,SUCCESS,50,1.4705881920415238e-06,Server [NO DATA]  Route (Switch),34000001,4761,38088,2475.72,2486.38464,7,Server data missing.
7199.151304,CUSTOM,128142_181831_111023,10.0.0.1,10.0.0.2,8120,220000,65000,False,NONE,0,BOTH,SUCCESS,25,7.639782425108359e-07,Server [NO DATA]  Route (Switch),32723445,4545,36360,2363.4,2373.5808,2,Server data missing.
7199.072913,CUSTOM,535747_201843_111023,10.0.0.1,10.0.0.2,8120,230000,65000,False,NONE,0,BOTH,SUCCESS,19,6.070222765035032e-07,Server [NO DATA]  Route (Switch),31300334,4347,34776,2260.44,2270.17728,14,Server data missing.
7199.072883,CUSTOM,228282_221855_111023,10.0.0.1,10.0.0.2,8120,240000,65000,False,NONE,0,BOTH,SUCCESS,7,2.3336325828182033e-07,Server [NO DATA]  Route (Switch),29996153,4166,33328,2166.32,2175.65184,13,Server data missing.
3999.99704,CUSTOM,836028_001907_121023,10.0.0.1,10.0.0.2,8120,250000,65000,False,NONE,0,BOTH,SUCCESS,51,3.1874998007812626e-06,Server [NO DATA]  Route (Switch),16000001,4000,32000,2080.0,2088.96,3,Server data missing.
