Timestamp,Packets [total],Losses [Total],Losses [Difference]
9.000216,100000,1,1
18.000097,200000,3,2
27.000281,300000,3,0
36.000445,400000,3,0
45.000357,500000,5,2
54.000393,600000,9,4
63.0003,700000,9,0
72.0002,800000,9,0
81.000096,900000,11,2
90.000008,1000000,12,1
98.999913,1100000,14,2
107.999823,1200000,16,2
116.999744,1300000,16,0
125.999734,1400000,17,1
134.999645,1500000,18,1
143.999652,1600000,21,3
152.999642,1700000,24,3
161.999999,1800000,24,0
170.999922,1900000,25,1
179.999824,2000000,25,0
188.999736,2100000,25,0
197.999645,2200000,25,0
206.999656,2300000,27,2
215.99965,2400000,27,0
224.999569,2500000,27,0
233.999653,2600000,29,2
242.999566,2700000,30,1
251.999471,2800000,30,0
260.999453,2900000,31,1
269.999369,3000000,31,0
278.999284,3100000,35,4
287.999202,3200000,36,1
296.999289,3300000,37,1
305.999475,3400000,38,1
314.999387,3500000,40,2
323.999286,3600000,41,1
332.999346,3700000,43,2
341.999197,3800000,46,3
350.999657,3900000,46,0
359.999559,4000000,46,0
368.999731,4100000,46,0
377.999653,4200000,47,1
386.999565,4300000,48,1
395.999471,4400000,52,4
404.999391,4500000,54,2
413.999287,4600000,55,1
422.999286,4700000,57,2
431.999399,4800000,60,3
440.999293,4900000,62,2
449.999203,5000000,64,2
449.999227,5000001,64,0
