Timestamp,Packets [total],Losses [Total],Losses [Difference]
3.50005,100000,0,0
7.000117,200000,0,0
10.500341,300000,0,0
14.000375,400000,0,0
17.500367,500000,0,0
21.000416,600000,0,0
24.501456,700000,0,0
28.001441,800000,0,0
31.501438,900000,0,0
35.001714,1000000,0,0
38.5027,1100000,0,0
42.003399,1200000,0,0
45.503453,1300000,0,0
49.003459,1400000,0,0
52.50354,1500000,0,0
56.003578,1600000,0,0
59.503726,1700000,0,0
63.003968,1800000,0,0
66.504376,1900000,0,0
70.005152,2000000,0,0
73.505232,2100000,0,0
77.005217,2200000,0,0
80.505337,2300000,0,0
84.005346,2400000,0,0
87.505366,2500000,0,0
91.005583,2600000,0,0
94.505601,2700000,0,0
98.005635,2800000,0,0
101.505708,2900000,0,0
105.00585,3000000,0,0
108.50603,3100000,0,0
112.00606,3200000,0,0
115.506156,3300000,0,0
119.006454,3400000,0,0
122.507404,3500000,0,0
126.007702,3600000,0,0
129.507724,3700000,0,0
133.007701,3800000,0,0
136.507771,3900000,0,0
140.008864,4000000,0,0
143.508968,4100000,0,0
147.009055,4200000,0,0
150.509081,4300000,0,0
154.009184,4400000,0,0
157.51011,4500000,0,0
161.01048,4600000,0,0
164.510576,4700000,0,0
168.010699,4800000,0,0
171.511345,4900000,0,0
175.011698,5000000,0,0
178.512752,5100000,0,0
182.012748,5200000,0,0
185.512782,5300000,0,0
189.012782,5400000,0,0
192.512814,5500000,0,0
196.013448,5600000,0,0
199.513773,5700000,0,0
203.01379,5800000,0,0
206.513887,5900000,0,0
210.014018,6000000,0,0
213.514145,6100000,0,0
217.014397,6200000,0,0
220.51449,6300000,0,0
224.014706,6400000,0,0
227.5147,6500000,0,0
231.014732,6600000,0,0
234.515096,6700000,0,0
238.015798,6800000,0,0
241.516492,6900000,0,0
245.016923,7000000,0,0
248.516914,7100000,0,0
252.017049,7200000,0,0
255.517149,7300000,0,0
259.017862,7400000,0,0
262.517893,7500000,0,0
266.017921,7600000,0,0
269.517938,7700000,0,0
273.017983,7800000,0,0
276.518232,7900000,0,0
280.018564,8000000,0,0
283.51889,8100000,0,0
287.018972,8200000,0,0
290.518986,8300000,0,0
294.018976,8400000,0,0
297.518979,8500000,0,0
301.018985,8600000,0,0
304.519217,8700000,0,0
308.019219,8800000,0,0
311.519235,8900000,0,0
315.019782,9000000,0,0
318.519889,9100000,0,0
322.020275,9200000,0,0
325.521149,9300000,0,0
329.021333,9400000,0,0
332.522126,9500000,0,0
336.022206,9600000,0,0
339.522305,9700000,0,0
343.0224,9800000,0,0
346.52243,9900000,0,0
350.022825,10000000,0,0
353.522823,10100000,0,0
357.022827,10200000,0,0
360.522824,10300000,0,0
364.024787,10400000,0,0
367.525791,10500000,0,0
371.026659,10600000,0,0
374.527427,10700000,0,0
378.027629,10800000,0,0
381.527658,10900000,0,0
385.027706,11000000,0,0
388.527737,11100000,0,0
392.027784,11200000,0,0
395.527994,11300000,0,0
399.028124,11400000,0,0
402.528131,11500000,0,0
406.028118,11600000,0,0
409.528694,11700000,0,0
413.029254,11800000,0,0
416.529336,11900000,0,0
420.029872,12000000,0,0
423.530523,12100000,0,0
427.031436,12200000,0,0
430.532194,12300000,0,0
434.032834,12400000,0,0
437.532833,12500000,0,0
441.032838,12600000,0,0
444.53284,12700000,0,0
448.032832,12800000,0,0
451.532833,12900000,0,0
455.03334,13000000,0,0
458.533426,13100000,0,0
462.033434,13200000,0,0
465.533433,13300000,1,1
469.033432,13400000,1,0
472.533429,13500000,1,0
476.033427,13600000,1,0
479.533447,13700000,1,0
483.033743,13800000,1,0
486.533731,13900000,1,0
490.033712,14000000,1,0
493.533727,14100000,1,0
497.033729,14200000,1,0
500.533791,14300000,1,0
504.033839,14400000,1,0
507.533877,14500000,1,0
511.034038,14600000,1,0
514.534363,14700000,1,0
518.034623,14800000,1,0
521.534756,14900000,1,0
525.034975,15000000,1,0
528.535062,15100000,1,0
532.035033,15200000,1,0
535.535026,15300000,1,0
539.035589,15400000,1,0
542.535622,15500000,1,0
546.035702,15600000,1,0
549.535734,15700000,1,0
553.036614,15800000,1,0
556.537234,15900000,1,0
560.038142,16000000,1,0
563.538638,16100000,1,0
567.039613,16200000,1,0
570.539749,16300000,1,0
574.040008,16400000,1,0
577.540054,16500000,1,0
581.041359,16600000,1,0
584.541341,16700000,1,0
588.041329,16800000,1,0
591.541322,16900000,1,0
595.041319,17000000,1,0
598.543392,17100000,1,0
602.044123,17200000,1,0
605.544397,17300000,1,0
609.044413,17400000,1,0
612.544421,17500000,1,0
616.044748,17600000,1,0
619.545085,17700000,1,0
623.045872,17800000,1,0
626.545845,17900000,1,0
630.045857,18000000,1,0
633.546307,18100000,1,0
637.046898,18200000,1,0
640.546905,18300000,1,0
644.049565,18400000,1,0
647.550008,18500000,1,0
651.049986,18600000,1,0
654.549974,18700000,1,0
658.049949,18800000,1,0
661.549951,18900000,1,0
665.049955,19000000,1,0
668.549996,19100000,1,0
672.050271,19200000,1,0
675.550755,19300000,1,0
679.050854,19400000,1,0
682.552845,19500000,1,0
686.052922,19600000,1,0
689.552998,19700000,1,0
693.053402,19800000,1,0
696.553456,19900000,1,0
700.053661,20000000,1,0
703.553656,20100000,1,0
707.053662,20200000,1,0
710.553656,20300000,1,0
714.053766,20400000,1,0
717.553926,20500000,1,0
721.054209,20600000,1,0
724.554527,20700000,1,0
728.054722,20800000,1,0
731.554802,20900000,1,0
735.054865,21000000,1,0
738.555134,21100000,1,0
742.055251,21200000,1,0
745.555666,21300000,1,0
749.056417,21400000,1,0
752.557291,21500000,1,0
756.057297,21600000,1,0
759.557305,21700000,1,0
763.057386,21800000,1,0
766.557657,21900000,1,0
770.058419,22000000,1,0
773.55961,22100000,1,0
777.059815,22200000,1,0
780.559816,22300000,1,0
784.060729,22400000,1,0
787.560727,22500000,1,0
791.06077,22600000,1,0
794.560778,22700000,1,0
798.060889,22800000,1,0
801.561016,22900000,1,0
805.061058,23000000,1,0
808.562739,23100000,1,0
812.062855,23200000,1,0
815.56291,23300000,1,0
819.06295,23400000,1,0
822.563099,23500000,1,0
826.063083,23600000,1,0
829.563079,23700000,1,0
833.063073,23800000,1,0
836.564126,23900000,1,0
840.064993,24000000,1,0
843.5658,24100000,1,0
847.066159,24200000,1,0
850.566145,24300000,1,0
854.066823,24400000,1,0
857.567258,24500000,1,0
861.067596,24600000,1,0
864.569699,24700000,1,0
868.069831,24800000,1,0
871.571419,24900000,1,0
875.071459,25000000,1,0
878.571504,25100000,1,0
882.072287,25200000,1,0
885.572429,25300000,1,0
889.0731,25400000,1,0
892.573368,25500000,1,0
896.073379,25600000,1,0
899.57337,25700000,1,0
903.073407,25800000,1,0
906.573477,25900000,1,0
910.073476,26000000,1,0
913.573483,26100000,1,0
917.073465,26200000,1,0
920.573471,26300000,1,0
924.073483,26400000,1,0
927.57366,26500000,1,0
931.07383,26600000,1,0
934.573846,26700000,1,0
938.073938,26800000,1,0
941.574848,26900000,1,0
945.076302,27000000,1,0
948.577114,27100000,1,0
952.077568,27200000,1,0
955.577565,27300000,1,0
959.077984,27400000,1,0
962.578806,27500000,1,0
966.078839,27600000,1,0
969.578864,27700000,1,0
973.078903,27800000,1,0
976.578927,27900000,1,0
980.079002,28000000,1,0
983.579138,28100000,1,0
987.079211,28200000,1,0
990.579341,28300000,1,0
994.079906,28400000,1,0
997.580319,28500000,1,0
1001.080788,28600000,1,0
1004.580785,28700000,1,0
1008.080825,28800000,1,0
1011.580997,28900000,1,0
1015.081846,29000000,1,0
1018.581881,29100000,1,0
1022.083865,29200000,1,0
1025.584256,29300000,1,0
1029.08425,29400000,1,0
1032.58443,29500000,1,0
1036.084427,29600000,1,0
1039.584427,29700000,1,0
1043.084427,29800000,1,0
1046.58443,29900000,1,0
1050.085579,30000000,1,0
1053.585736,30100000,1,0
1057.086767,30200000,1,0
1060.587036,30300000,1,0
1064.08709,30400000,1,0
1067.587083,30500000,1,0
1071.087303,30600000,1,0
1074.58762,30700000,1,0
1078.08986,30800000,1,0
1081.590193,30900000,1,0
1085.090697,31000000,1,0
1088.59072,31100000,1,0
1092.090968,31200000,1,0
1095.592289,31300000,1,0
1099.092556,31400000,1,0
1102.592617,31500000,1,0
1106.092796,31600000,1,0
1109.593764,31700000,1,0
1113.094102,31800000,1,0
1116.594447,31900000,1,0
1120.095971,32000000,2,1
1123.59688,32100000,2,0
1127.09709,32200000,2,0
1130.597201,32300000,2,0
1134.097372,32400000,2,0
1137.597867,32500000,2,0
1141.097927,32600000,2,0
1144.597984,32700000,2,0
1148.098051,32800000,2,0
1151.598364,32900000,2,0
1155.098603,33000000,2,0
1158.599021,33100000,2,0
1162.099304,33200000,2,0
1165.600136,33300000,2,0
1169.100184,33400000,2,0
1172.600313,33500000,2,0
1176.100451,33600000,2,0
1179.600495,33700000,2,0
1183.101155,33800000,2,0
1186.601301,33900000,2,0
1190.101293,34000000,2,0
1193.601641,34100000,2,0
1197.101791,34200000,2,0
1200.60196,34300000,2,0
1204.102075,34400000,2,0
1207.602854,34500000,2,0
1211.102919,34600000,2,0
1214.603058,34700000,2,0
1218.103159,34800000,2,0
1221.603174,34900000,2,0
1225.10321,35000000,2,0
1228.603819,35100000,2,0
1232.104323,35200000,2,0
1235.604319,35300000,2,0
1239.104412,35400000,2,0
1242.604792,35500000,2,0
1246.104862,35600000,2,0
1249.604904,35700000,2,0
1253.105425,35800000,2,0
1256.606276,35900000,2,0
1260.106455,36000000,2,0
1263.606471,36100000,2,0
1267.106796,36200000,2,0
1270.607009,36300000,2,0
1274.107569,36400000,2,0
1277.607953,36500000,2,0
1281.109638,36600000,2,0
1284.610571,36700000,2,0
1288.110589,36800000,2,0
1291.610633,36900000,2,0
1295.111198,37000000,2,0
1298.612083,37100000,2,0
1302.112219,37200000,2,0
1305.612324,37300000,2,0
1309.112463,37400000,2,0
1312.612638,37500000,2,0
1316.11299,37600000,2,0
1319.614332,37700000,2,0
1323.114427,37800000,2,0
1326.614509,37900000,2,0
1330.114919,38000000,2,0
1333.614925,38100000,2,0
1337.114907,38200000,2,0
1340.614922,38300000,2,0
1344.11541,38400000,2,0
1347.616284,38500000,2,0
1351.116277,38600000,2,0
1354.61628,38700000,2,0
1358.116272,38800000,2,0
1361.616284,38900000,2,0
1365.116734,39000000,2,0
1368.617472,39100000,2,0
1372.11781,39200000,2,0
1375.61841,39300000,2,0
1379.118667,39400000,2,0
1382.619671,39500000,2,0
1386.119671,39600000,2,0
1389.619664,39700000,2,0
1393.119679,39800000,2,0
1396.620486,39900000,2,0
1400.121736,40000000,2,0
1403.622134,40100000,2,0
1407.122188,40200000,2,0
1410.622187,40300000,2,0
1414.122186,40400000,2,0
1417.622188,40500000,2,0
1421.12225,40600000,2,0
1424.623277,40700000,2,0
1428.123424,40800000,2,0
1431.623786,40900000,2,0
1435.123766,41000000,2,0
1438.623781,41100000,2,0
1442.123768,41200000,2,0
1445.624226,41300000,2,0
1449.125166,41400000,2,0
1452.625206,41500000,2,0
1456.125219,41600000,2,0
1459.625313,41700000,2,0
1463.125417,41800000,2,0
1466.625562,41900000,2,0
1470.125965,42000000,2,0
1473.626103,42100000,2,0
1477.126113,42200000,2,0
1480.626663,42300000,2,0
1484.127059,42400000,2,0
1487.627482,42500000,2,0
1491.127494,42600000,2,0
1494.627579,42700000,2,0
1498.12815,42800000,2,0
1501.62916,42900000,2,0
1505.130448,43000000,2,0
1508.631335,43100000,2,0
1512.132376,43200000,2,0
1515.632381,43300000,2,0
1519.13256,43400000,2,0
1522.633464,43500000,2,0
1526.135121,43600000,2,0
1529.637209,43700000,2,0
1533.137214,43800000,2,0
1536.637211,43900000,2,0
1540.137204,44000000,2,0
1543.637211,44100000,2,0
1547.137215,44200000,2,0
1550.63725,44300000,2,0
1554.137283,44400000,2,0
1557.637307,44500000,2,0
1561.138155,44600000,2,0
1564.638479,44700000,2,0
1568.138779,44800000,2,0
1571.63937,44900000,2,0
1575.139454,45000000,2,0
1578.63955,45100000,2,0
1582.139584,45200000,2,0
1585.639848,45300000,2,0
1589.139878,45400000,2,0
1592.640207,45500000,2,0
1596.140322,45600000,2,0
1599.640467,45700000,2,0
1603.140478,45800000,2,0
1606.640511,45900000,2,0
1610.140514,46000000,2,0
1613.640494,46100000,2,0
1617.140608,46200000,2,0
1620.640595,46300000,2,0
1624.140681,46400000,2,0
1627.640673,46500000,2,0
1631.140687,46600000,2,0
1634.640756,46700000,2,0
1638.140778,46800000,2,0
1641.640775,46900000,2,0
1645.140771,47000000,2,0
1648.64079,47100000,2,0
1652.140788,47200000,2,0
1655.640773,47300000,2,0
1659.14106,47400000,2,0
1662.641163,47500000,2,0
1666.141159,47600000,2,0
1669.641373,47700000,2,0
1673.141532,47800000,2,0
1676.64167,47900000,2,0
1680.141724,48000000,2,0
1683.641797,48100000,2,0
1687.141793,48200000,2,0
1690.641842,48300000,2,0
1694.142663,48400000,2,0
1697.642807,48500000,2,0
1701.142968,48600000,2,0
1704.643411,48700000,2,0
1708.143549,48800000,2,0
1711.644161,48900000,2,0
1715.144489,49000000,2,0
1718.644551,49100000,2,0
1722.144631,49200000,2,0
1725.644667,49300000,2,0
1729.144841,49400000,2,0
1732.645331,49500000,2,0
1736.145463,49600000,2,0
1739.6455,49700000,2,0
1743.145737,49800000,2,0
1746.645804,49900000,2,0
1750.146274,50000000,2,0
1753.646303,50100000,2,0
1757.146972,50200000,2,0
1760.647611,50300000,2,0
1764.148031,50400000,2,0
1767.648136,50500000,2,0
1771.148174,50600000,2,0
1774.648222,50700000,2,0
1778.148273,50800000,2,0
1781.648445,50900000,2,0
1785.149844,51000000,2,0
1788.649848,51100000,2,0
1792.15056,51200000,2,0
1795.650826,51300000,2,0
1799.151036,51400000,2,0
1802.651803,51500000,2,0
1806.152747,51600000,2,0
1809.653726,51700000,2,0
1813.153892,51800000,2,0
1816.654043,51900000,2,0
1820.154171,52000000,2,0
1823.655595,52100000,2,0
1827.156386,52200000,2,0
1830.657023,52300000,2,0
1834.15719,52400000,2,0
1837.657293,52500000,2,0
1841.157746,52600000,2,0
1844.658723,52700000,2,0
1848.15894,52800000,2,0
1851.659394,52900000,2,0
1855.159599,53000000,2,0
1858.65967,53100000,2,0
1862.160344,53200000,2,0
1865.660356,53300000,2,0
1869.160415,53400000,2,0
1872.660408,53500000,2,0
1876.160427,53600000,2,0
1879.660467,53700000,2,0
1883.160504,53800000,2,0
1886.660582,53900000,2,0
1890.160661,54000000,2,0
1893.660743,54100000,2,0
1897.16079,54200000,2,0
1900.660826,54300000,2,0
1904.161072,54400000,2,0
1907.662047,54500000,2,0
1911.162247,54600000,2,0
1914.662259,54700000,2,0
1918.162343,54800000,2,0
1921.662644,54900000,2,0
1925.16265,55000000,2,0
1928.663525,55100000,2,0
1932.163737,55200000,2,0
1935.663776,55300000,2,0
1939.163766,55400000,2,0
1942.663879,55500000,2,0
1946.164606,55600000,2,0
1949.66615,55700000,2,0
1953.166184,55800000,2,0
1956.666707,55900000,2,0
1960.166715,56000000,2,0
1963.666929,56100000,2,0
1967.16713,56200000,2,0
1970.667323,56300000,2,0
1974.167318,56400000,2,0
1977.667308,56500000,2,0
1981.167309,56600000,2,0
1984.667395,56700000,2,0
1988.168012,56800000,2,0
1991.668018,56900000,2,0
1995.168005,57000000,2,0
1998.668009,57100000,2,0
2002.168008,57200000,2,0
2005.66926,57300000,2,0
2009.170114,57400000,2,0
2012.670251,57500000,2,0
2016.170253,57600000,2,0
2019.670499,57700000,2,0
2023.170494,57800000,2,0
2026.670495,57900000,2,0
2030.170492,58000000,2,0
2033.67052,58100000,2,0
2037.170523,58200000,2,0
2040.670524,58300000,2,0
2044.170522,58400000,2,0
2047.670979,58500000,2,0
2051.172052,58600000,2,0
2054.672781,58700000,2,0
2058.172763,58800000,2,0
2061.672768,58900000,2,0
2065.172782,59000000,2,0
2068.672787,59100000,2,0
2072.17283,59200000,2,0
2075.672851,59300000,2,0
2079.173021,59400000,2,0
2082.673327,59500000,2,0
2086.173503,59600000,2,0
2089.673574,59700000,2,0
2093.174205,59800000,2,0
2096.67564,59900000,2,0
2100.176195,60000000,2,0
2103.676275,60100000,2,0
2107.176268,60200000,2,0
2110.676347,60300000,2,0
2114.176488,60400000,2,0
2117.677016,60500000,2,0
2121.177048,60600000,2,0
2124.677052,60700000,2,0
2128.177116,60800000,2,0
2131.677702,60900000,2,0
2135.177801,61000000,2,0
2138.678016,61100000,2,0
2142.178585,61200000,2,0
2145.678596,61300000,2,0
2149.178588,61400000,2,0
2152.678597,61500000,2,0
2156.178578,61600000,2,0
2159.678572,61700000,2,0
2163.178726,61800000,2,0
2166.679421,61900000,2,0
2170.179421,62000000,2,0
2173.679522,62100000,2,0
2177.179522,62200000,2,0
2180.679559,62300000,2,0
2184.180269,62400000,2,0
2187.681496,62500000,2,0
2191.182506,62600000,2,0
2194.682545,62700000,2,0
2198.18267,62800000,2,0
2201.683767,62900000,2,0
2205.183962,63000000,2,0
2208.683959,63100000,2,0
2212.184006,63200000,2,0
2215.683993,63300000,2,0
2219.184013,63400000,2,0
2222.684671,63500000,2,0
2226.184792,63600000,2,0
2229.684816,63700000,2,0
2233.185024,63800000,2,0
2236.685302,63900000,2,0
2240.186141,64000000,2,0
2243.686275,64100000,2,0
2247.186355,64200000,2,0
2250.686442,64300000,2,0
2254.187503,64400000,2,0
2257.687792,64500000,2,0
2261.187781,64600000,2,0
2264.687782,64700000,2,0
2268.187923,64800000,2,0
2271.687914,64900000,2,0
2275.187955,65000000,2,0
2278.688196,65100000,2,0
2282.188349,65200000,2,0
2285.688412,65300000,2,0
2289.18841,65400000,2,0
2292.688864,65500000,2,0
2296.189073,65600000,2,0
