Duration (s),Method,Test-ID,Client,Server,Port,Cycle Time (ns),Datagram Size (B),QoS,Stress,Intensity,Location,Status,Losses [total],Losses [ratio](%),Losses [location],Pakets [total],PPS [udp],PPS [ip],Bandwidth [net](Mbps),Bandwidth [gross](Mbps),Timer Misses,Remarks
100,CUSTOM,432603_121105_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,CPU_USR,8,CLIENT,SUCCESS,0,0.0,,8693417,86934,86934,55.63776,84.847584,31292326,Server data missing.
100,CUSTOM,243524_131819_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,MEMORY,8,CLIENT,SUCCESS,0,0.0,,11491946,114919,114919,73.54816,112.160944,28393343,Server data missing.
100,CUSTOM,818699_071734_091023,10.0.0.101,10.0.0.102,8100,2500,80,False,NETWORK_TRAFFIC,10,BOTH,SUCCESS,0,0.0,,13201635,132016,132016,84.49024,128.847616,26784639,Server data missing.
100,CUSTOM,758871_151018_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,CPU_REALTIME,7,SERVER,SUCCESS,0,0.0,,13206445,132064,132064,84.52096,128.894464,26788523,Server data missing.
100,CUSTOM,966737_123329_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,CPU_KERNEL,8,CLIENT,SUCCESS,0,0.0,,7712063,77120,77120,49.3568,75.26912,32272765,Server data missing.
100,CUSTOM,738755_153242_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,MEMORY,8,SERVER,SUCCESS,105154,0.007949389526739398,Server [NO DATA]  Route (Switch),13227934,132279,132279,84.65856,129.104304,26766347,Server data missing.
100,CUSTOM,928691_161730_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,TIMER,8,SERVER,SUCCESS,0,0.0,,13205398,132053,132053,84.51392,128.883728,26789125,Server data missing.
100,CUSTOM,847066_142530_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,CPU_USR,8,SERVER,SUCCESS,0,0.0,,13229265,132292,132292,84.66688,129.116992,26765891,Server data missing.
100,CUSTOM,355510_144754_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,CPU_KERNEL,8,SERVER,SUCCESS,0,0.0,,13197556,131975,131975,84.464,128.8076,26797358,Server data missing.
100,CUSTOM,761305_140306_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,TIMER,8,CLIENT,SUCCESS,0,0.0,,8049277,80492,80492,51.51488,78.560192,31933433,Server data missing.
100,CUSTOM,622299_081637_091023,10.0.0.101,10.0.0.102,8100,2500,80,False,NETWORK,10,CLIENT,SUCCESS,0,0.0,,13201758,132017,132017,84.49088,128.848592,26787058,Server data missing.
100,CUSTOM,617900_134042_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,IO,8,CLIENT,SUCCESS,0,0.0,,13076059,130760,130760,83.6864,127.62176,26907741,Server data missing.
100,CUSTOM,185125_155506_061023,10.0.0.101,10.0.0.102,8100,2500,80,False,IO,8,SERVER,SUCCESS,0,0.0,,13161897,131618,131618,84.23552,128.459168,26832624,Server data missing.
100,CUSTOM,579098_074700_091023,10.0.0.101,10.0.0.102,8100,2500,80,False,NETWORK,10,SERVER,SUCCESS,182,1.4306368684396555e-05,Server [NO DATA]  Route (Switch),12721607,127216,127216,81.41824,124.162816,27267324,Server data missing.
