Duration (s),Method,Test-ID,Client,Server,Port,Cycle Time (ns),Datagram Size (B),QoS,Stress,Intensity,Location,Status,Losses [total],Losses [ratio](%),Losses [location],Pakets [total],PPS [udp],PPS [ip],Bandwidth [net](Mbps),Bandwidth [gross](Mbps),Timer Misses,Remarks
7199.715951,CUSTOM,513427_070513_271023,10.0.0.1,10.0.0.2,8120,2500,80,False,NONE,0,BOTH,SUCCESS,0,0.0,,850283849,118099,118099,75.58336,115.264624,2029603381,Server data missing.
11.403023,CUSTOM,439273_090526_271023,10.0.0.1,10.0.0.2,8120,2500,8900,False,NONE,0,BOTH,SUCCESS,4709,0.004708995291004709,Server [NO DATA]  Route (Switch),1000001,87696,87696,6243.9552,6273.421056,3561142,Server data missing.
11.665365,CUSTOM,447300_090550_271023,10.0.0.1,10.0.0.2,8120,10000,8900,False,NONE,0,BOTH,SUCCESS,3657,0.003656996343003657,Server [NO DATA]  Route (Switch),1000001,85723,85723,6103.4776,6132.280528,166515,Server data missing.
40.01551,CUSTOM,367031_090615_271023,10.0.0.1,10.0.0.2,8120,20000,8900,False,NONE,0,BOTH,SUCCESS,74,3.699998150000925e-05,Server [NO DATA]  Route (Switch),2000001,49980,49980,3558.576,3575.36928,768,Server data missing.
300.026966,CUSTOM,452235_090708_271023,10.0.0.1,10.0.0.2,8120,30000,8900,False,NONE,0,BOTH,SUCCESS,54,5.399999460000054e-06,Server [NO DATA]  Route (Switch),10000001,33330,33330,2373.096,2384.29488,900,Server data missing.
1960.115177,CUSTOM,528921_091222_271023,10.0.0.1,10.0.0.2,8120,40000,8900,False,NONE,0,BOTH,SUCCESS,51,1.0408163052894631e-06,Server [NO DATA]  Route (Switch),49000001,24998,24998,1779.8576,1788.256928,2923,Server data missing.
7199.930657,CUSTOM,987188_094516_271023,10.0.0.1,10.0.0.2,8120,50000,8900,False,NONE,0,BOTH,SUCCESS,41,2.8473181017046886e-07,Server [NO DATA]  Route (Switch),143995151,19999,19999,1423.9288,1430.648464,3605,Server data missing.
7199.757184,CUSTOM,410377_114529_271023,10.0.0.1,10.0.0.2,8120,60000,8900,False,NONE,0,BOTH,SUCCESS,13,1.0833798103271964e-07,Server [NO DATA]  Route (Switch),119994852,16666,16666,1186.6192,1192.218976,1220,Server data missing.
7199.197253,CUSTOM,881997_134542_271023,10.0.0.1,10.0.0.2,8120,70000,8900,False,NONE,0,BOTH,SUCCESS,11,1.0695740619655594e-07,Server [NO DATA]  Route (Switch),102844678,14285,14285,1017.092,1021.89176,1099,Server data missing.
7199.095128,CUSTOM,948035_154555_271023,10.0.0.1,10.0.0.2,8120,80000,8900,False,NONE,0,BOTH,SUCCESS,3,3.333790062571906e-08,Server [NO DATA]  Route (Switch),89987670,12499,12499,889.9288,894.128464,1108,Server data missing.
7199.606074,CUSTOM,836368_174608_271023,10.0.0.1,10.0.0.2,8120,90000,8900,False,NONE,0,BOTH,SUCCESS,0,0.0,,79994929,11111,11111,791.1032,794.836496,773,Server data missing.
70.055417,CUSTOM,433511_194621_271023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,993634,0.9936330063669936,Server [NO DATA]  Route (Switch),1000001,14274,114192,7422.48,7454.45376,27022051,Server data missing.
70.212064,CUSTOM,525875_194744_271023,10.0.0.1,10.0.0.2,8120,60000,65000,False,NONE,0,BOTH,SUCCESS,995962,0.995961004038996,Server [NO DATA]  Route (Switch),1000001,14242,113936,7405.84,7437.74208,170195,Server data missing.
73.762494,CUSTOM,159002_194907_271023,10.0.0.1,10.0.0.2,8120,70000,65000,False,NONE,0,BOTH,SUCCESS,981402,0.9814010185989814,Server [NO DATA]  Route (Switch),1000001,13557,108456,7049.64,7080.00768,53746,Server data missing.
80.798437,CUSTOM,268573_195035_271023,10.0.0.1,10.0.0.2,8120,80000,65000,False,NONE,0,BOTH,SUCCESS,985704,0.9857030142969857,Server [NO DATA]  Route (Switch),1000001,12376,99008,6435.52,6463.24224,9976,Server data missing.
90.228676,CUSTOM,674238_195210_271023,10.0.0.1,10.0.0.2,8120,90000,65000,False,NONE,0,BOTH,SUCCESS,944476,0.9444750555249445,Server [NO DATA]  Route (Switch),1000001,11082,88656,5762.64,5787.46368,2538,Server data missing.
100.093618,CUSTOM,465822_195353_271023,10.0.0.1,10.0.0.2,8120,100000,65000,False,NONE,0,BOTH,SUCCESS,890585,0.8905841094158906,Server [NO DATA]  Route (Switch),1000001,9990,79920,5194.8,5217.1776,933,Server data missing.
110.009794,CUSTOM,658733_195546_271023,10.0.0.1,10.0.0.2,8120,110000,65000,False,NONE,0,BOTH,SUCCESS,827180,0.8271791728208272,Server [NO DATA]  Route (Switch),1000001,9090,72720,4726.8,4747.1616,88,Server data missing.
120.001331,CUSTOM,881779_195749_271023,10.0.0.1,10.0.0.2,8120,120000,65000,False,NONE,0,BOTH,SUCCESS,739558,0.7395572604427395,Server [NO DATA]  Route (Switch),1000001,8333,66664,4333.16,4351.82592,10,Server data missing.
130.00115,CUSTOM,609852_200004_271023,10.0.0.1,10.0.0.2,8120,130000,65000,False,NONE,0,BOTH,SUCCESS,540348,0.5403474596525404,Server [NO DATA]  Route (Switch),1000001,7692,61536,3999.84,4017.07008,8,Server data missing.
140.004603,CUSTOM,648595_200227_271023,10.0.0.1,10.0.0.2,8120,140000,65000,False,NONE,0,BOTH,SUCCESS,461855,0.46185453814546185,Server [NO DATA]  Route (Switch),1000001,7142,57136,3713.84,3729.83808,32,Server data missing.
150.005639,CUSTOM,382701_200501_271023,10.0.0.1,10.0.0.2,8120,150000,65000,False,NONE,0,BOTH,SUCCESS,372017,0.37201662798337204,Server [NO DATA]  Route (Switch),1000001,6666,53328,3466.32,3481.25184,37,Server data missing.
160.001657,CUSTOM,222733_200744_271023,10.0.0.1,10.0.0.2,8120,160000,65000,False,NONE,0,BOTH,SUCCESS,4130,0.00412999587000413,Server [NO DATA]  Route (Switch),1000001,6249,49992,3249.48,3263.47776,10,Server data missing.
170.000563,CUSTOM,554087_201038_271023,10.0.0.1,10.0.0.2,8120,170000,65000,False,NONE,0,BOTH,SUCCESS,161,0.000160999839000161,Server [NO DATA]  Route (Switch),1000001,5882,47056,3058.64,3071.81568,3,Server data missing.
180.001661,CUSTOM,318958_201341_271023,10.0.0.1,10.0.0.2,8120,180000,65000,False,NONE,0,BOTH,SUCCESS,107,0.000106999893000107,Server [NO DATA]  Route (Switch),1000001,5555,44440,2888.6,2901.0432,9,Server data missing.
190.00061,CUSTOM,234303_201654_271023,10.0.0.1,10.0.0.2,8120,190000,65000,False,NONE,0,BOTH,SUCCESS,88,8.7999912000088e-05,Server [NO DATA]  Route (Switch),1000001,5263,42104,2736.76,2748.54912,3,Server data missing.
200.001475,CUSTOM,136865_202017_271023,10.0.0.1,10.0.0.2,8120,200000,65000,False,NONE,0,BOTH,SUCCESS,82,8.1999918000082e-05,Server [NO DATA]  Route (Switch),1000001,4999,39992,2599.48,2610.67776,7,Server data missing.
