Duration (s),Method,Test-ID,Client,Server,Port,Cycle Time (ns),Datagram Size (B),QoS,Stress,Intensity,Location,Status,Losses [total],Losses [ratio](%),Losses [location],Pakets [total],PPS [udp],PPS [ip],Bandwidth [net](Mbps),Bandwidth [gross](Mbps),Timer Misses,Remarks
216.038135,CUSTOM,481243_060134_301023,10.0.0.1,10.0.0.2,8120,2500,65000,False,NONE,0,BOTH,SUCCESS,3063474,0.9946344155844156,Server [NO DATA]  Route (Switch),3080000,14256,114048,7413.12,7445.05344,82938274,Server data missing.
78.344107,CUSTOM,563445_060523_301023,10.0.0.1,10.0.0.2,8120,60000,65000,False,NONE,0,BOTH,SUCCESS,1103262,0.9930351035103511,Server [NO DATA]  Route (Switch),1111000,14181,113448,7374.12,7405.88544,179176,Server data missing.
369.474218,CUSTOM,933035_060654_301023,10.0.0.1,10.0.0.2,8120,70000,65000,False,NONE,0,BOTH,SUCCESS,4977014,0.9954026009194799,Server [NO DATA]  Route (Switch),5000001,13532,108256,7036.64,7066.95168,283200,Server data missing.
403.36139,CUSTOM,427349_061317_301023,10.0.0.1,10.0.0.2,8120,80000,65000,False,NONE,0,BOTH,SUCCESS,4893367,0.9786732042653592,Server [NO DATA]  Route (Switch),5000001,12395,99160,6445.4,6473.1648,47014,Server data missing.
310.508559,CUSTOM,507682_062013_301023,10.0.0.1,10.0.0.2,8120,90000,65000,False,NONE,0,BOTH,SUCCESS,3297505,0.9596929569266589,Server [NO DATA]  Route (Switch),3436000,11065,88520,5753.8,5778.5856,6419,Server data missing.
500.035247,CUSTOM,807510_062537_301023,10.0.0.1,10.0.0.2,8120,100000,65000,False,NONE,0,BOTH,SUCCESS,4428747,0.8857492228501554,Server [NO DATA]  Route (Switch),5000001,9999,79992,5199.48,5221.87776,5350,Server data missing.
163.099168,CUSTOM,124800_063410_301023,10.0.0.1,10.0.0.2,8120,110000,65000,False,NONE,0,BOTH,SUCCESS,1153704,0.7827028493894166,Server [NO DATA]  Route (Switch),1474000,9037,72296,4699.24,4719.48288,1102,Server data missing.
599.64599,CUSTOM,943181_063706_301023,10.0.0.1,10.0.0.2,8120,120000,65000,False,NONE,0,BOTH,SUCCESS,3087272,0.6174542765091448,Server [NO DATA]  Route (Switch),5000001,8338,66704,4335.76,4354.43712,2047,Server data missing.
649.489586,CUSTOM,291893_064718_301023,10.0.0.1,10.0.0.2,8120,130000,65000,False,NONE,0,BOTH,SUCCESS,1533165,0.3066329386734123,Server [NO DATA]  Route (Switch),5000001,7698,61584,4002.96,4020.20352,1072,Server data missing.
699.355973,CUSTOM,523102_065821_301023,10.0.0.1,10.0.0.2,8120,140000,65000,False,NONE,0,BOTH,SUCCESS,474819,0.0949637810072438,Server [NO DATA]  Route (Switch),5000001,7149,57192,3717.48,3733.49376,398,Server data missing.
