Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.160063,1001,5,5
0.319903,2001,5,0
0.479714,3001,5,0
0.639557,4001,5,0
0.799382,5001,5,0
0.959242,6001,5,0
1.119077,7001,5,0
1.278905,8001,5,0
1.438729,9001,5,0
1.598595,10001,5,0
1.758416,11001,5,0
1.918266,12001,5,0
2.078092,13001,5,0
2.237952,14001,5,0
2.397801,15001,5,0
2.557666,16001,5,0
2.717516,17001,5,0
2.877479,18001,5,0
3.037303,19001,5,0
3.197141,20001,5,0
3.357012,21001,5,0
3.517016,22001,5,0
3.676838,23001,5,0
3.836659,24001,5,0
3.996836,25001,5,0
4.156676,26001,6,1
4.316517,27001,6,0
4.47636,28001,6,0
4.636516,29001,6,0
4.796357,30001,6,0
4.95618,31001,6,0
5.116055,32001,6,0
5.275862,33001,6,0
5.43571,34001,6,0
5.595561,35001,6,0
5.755407,36001,6,0
5.915367,37001,6,0
6.075368,38001,6,0
6.235236,39001,6,0
6.395161,40001,6,0
6.554991,41001,6,0
6.714781,42001,6,0
6.874663,43001,6,0
7.034489,44001,6,0
7.194321,45001,6,0
7.354174,46001,6,0
7.514096,47001,6,0
7.674014,48001,6,0
7.833821,49001,6,0
7.993802,50001,6,0
8.153757,51001,6,0
8.313657,52001,6,0
8.473493,53001,6,0
8.633362,54001,6,0
8.793204,55001,6,0
8.95308,56001,6,0
9.112811,57001,6,0
9.272799,58001,6,0
9.432824,59001,6,0
9.592709,60001,6,0
9.752588,61001,6,0
9.912483,62001,6,0
10.072419,63001,6,0
10.232207,64001,6,0
10.392053,65001,6,0
10.551872,66001,6,0
10.711735,67001,6,0
10.871667,68001,6,0
11.031499,69001,6,0
11.191286,70001,12,6
11.351152,71001,12,0
11.510999,72001,12,0
11.670739,73001,12,0
11.830629,74001,12,0
11.990426,75001,12,0
12.150251,76001,12,0
12.310101,77001,15,3
12.469984,78001,15,0
12.629789,79001,15,0
12.789614,80001,15,0
12.949453,81001,15,0
13.109291,82001,15,0
13.26916,83001,15,0
13.428997,84001,16,1
13.588827,85001,16,0
13.748822,86001,16,0
13.908689,87001,16,0
14.068521,88001,16,0
14.228661,89001,16,0
14.388497,90001,16,0
14.548328,91001,16,0
14.708171,92001,16,0
14.868011,93001,16,0
15.027856,94001,16,0
15.187716,95001,18,2
15.347584,96001,18,0
15.507537,97001,18,0
15.667406,98001,18,0
15.827332,99001,18,0
15.98717,100001,18,0
16.146983,101001,18,0
16.306774,102001,18,0
16.466592,103001,18,0
16.626448,104001,20,2
16.786287,105001,20,0
16.94611,106001,20,0
17.105933,107001,20,0
17.265787,108001,20,0
17.425605,109001,20,0
17.585478,110001,20,0
17.745305,111001,20,0
17.90512,112001,20,0
18.06501,113001,20,0
18.22482,114001,20,0
18.384718,115001,20,0
18.544829,116001,21,1
18.704644,117001,21,0
18.864541,118001,21,0
19.024362,119001,21,0
19.184192,120001,21,0
19.34402,121001,21,0
19.503845,122001,21,0
19.663742,123001,21,0
19.823561,124001,21,0
19.983391,125001,21,0
20.143289,126001,21,0
20.303049,127001,21,0
20.462931,128001,21,0
20.622732,129001,21,0
20.782721,130001,21,0
20.942636,131001,21,0
21.10244,132001,21,0
21.262243,133001,21,0
21.422181,134001,21,0
21.582033,135001,21,0
21.741777,136001,21,0
21.901641,137001,21,0
22.061543,138001,21,0
22.221392,139001,21,0
22.38126,140001,21,0
22.540999,141001,21,0
22.700863,142001,21,0
22.860831,143001,21,0
23.020771,144001,21,0
23.180624,145001,21,0
23.340466,146001,21,0
23.50022,147001,21,0
23.660146,148001,21,0
23.819995,149001,21,0
23.979982,150001,21,0
24.139747,151001,21,0
24.299656,152001,22,1
24.459517,153001,24,2
24.619504,154001,24,0
24.779284,155001,24,0
24.93921,156001,24,0
25.099077,157001,24,0
25.258895,158001,24,0
25.418839,159001,24,0
25.578614,160001,24,0
25.738568,161001,24,0
25.898526,162001,24,0
26.058378,163001,24,0
26.218113,164001,24,0
26.378052,165001,24,0
26.537883,166001,24,0
26.697685,167001,24,0
26.857703,168001,24,0
27.017504,169001,24,0
27.177384,170001,24,0
27.337155,171001,25,1
27.497006,172001,25,0
27.656902,173001,25,0
27.816756,174001,25,0
27.976568,175001,25,0
28.136424,176001,25,0
28.296212,177001,25,0
28.456088,178001,25,0
28.615917,179001,25,0
28.775783,180001,25,0
28.935556,181001,25,0
29.095405,182001,25,0
29.255244,183001,25,0
29.41505,184001,25,0
29.574943,185001,25,0
29.734734,186001,25,0
29.894602,187001,25,0
30.054488,188001,25,0
30.214381,189001,25,0
30.37421,190001,25,0
30.533955,191001,25,0
30.693778,192001,25,0
30.85375,193001,25,0
31.013523,194001,27,2
31.173422,195001,27,0
