Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.958984,100000,0,0
1.922083,200000,0,0
2.900432,300000,0,0
3.857949,400000,0,0
4.809868,500000,0,0
5.756685,600000,0,0
6.71555,700000,0,0
7.669616,800000,0,0
8.615648,900000,0,0
9.526337,1000000,0,0
10.47439,1100000,0,0
11.446822,1200000,0,0
12.386952,1300000,0,0
13.336496,1400000,0,0
14.262948,1500000,0,0
15.191405,1600000,0,0
16.10127,1700000,0,0
17.009898,1800000,0,0
17.90265,1900000,0,0
18.815215,2000000,0,0
19.720979,2100000,0,0
20.634656,2200000,0,0
21.562011,2300000,0,0
22.5286,2400000,0,0
23.488397,2500000,0,0
24.436917,2600000,0,0
25.369953,2700000,0,0
26.293199,2800000,0,0
27.234183,2900000,0,0
28.188429,3000000,0,0
29.117112,3100000,0,0
30.071646,3200000,0,0
31.036901,3300000,0,0
31.98949,3400000,0,0
32.942914,3500000,0,0
33.878927,3600000,0,0
34.817416,3700000,0,0
35.763622,3800000,0,0
36.712577,3900000,0,0
37.66861,4000000,0,0
38.637268,4100000,0,0
39.594488,4200000,0,0
40.544248,4300000,0,0
41.507299,4400000,0,0
42.439525,4500000,0,0
43.377509,4600000,0,0
44.297803,4700000,0,0
45.239275,4800000,0,0
46.169691,4900000,0,0
47.152808,5000000,0,0
48.071854,5100000,0,0
49.030949,5200000,0,0
49.970835,5300000,0,0
50.905809,5400000,0,0
51.835341,5500000,0,0
52.761994,5600000,0,0
53.71534,5700000,0,0
54.659128,5800000,0,0
55.581602,5900000,0,0
56.514634,6000000,0,0
57.440231,6100000,0,0
58.351767,6200000,0,0
59.292771,6300000,0,0
60.205518,6400000,0,0
61.10842,6500000,0,0
62.018248,6600000,0,0
62.902573,6700000,0,0
63.798979,6800000,0,0
64.693337,6900000,0,0
65.597466,7000000,0,0
66.49536,7100000,0,0
67.387882,7200000,0,0
68.324959,7300000,0,0
69.227502,7400000,0,0
70.144966,7500000,0,0
71.059839,7600000,0,0
71.996581,7700000,0,0
72.919421,7800000,0,0
73.829156,7900000,0,0
74.764362,8000000,0,0
75.681701,8100000,0,0
76.623286,8200000,0,0
77.548565,8300000,0,0
78.470001,8400000,0,0
79.389149,8500000,0,0
80.309621,8600000,0,0
81.21275,8700000,0,0
82.11934,8800000,0,0
83.017999,8900000,0,0
83.911792,9000000,0,0
84.807857,9100000,0,0
85.697647,9200000,0,0
86.608737,9300000,0,0
87.569764,9400000,0,0
88.481275,9500000,0,0
89.399207,9600000,0,0
90.306401,9700000,0,0
91.216963,9800000,0,0
92.136336,9900000,0,0
93.053374,10000000,0,0
93.985026,10100000,0,0
94.915905,10200000,0,0
95.831319,10300000,0,0
96.748188,10400000,0,0
97.685335,10500000,0,0
98.622365,10600000,0,0
99.559141,10700000,0,0
100.511072,10800000,0,0
101.457663,10900000,0,0
102.352218,11000000,0,0
103.276509,11100000,0,0
104.205237,11200000,0,0
105.131796,11300000,0,0
106.065749,11400000,0,0
107.010599,11500000,0,0
107.94989,11600000,0,0
108.888902,11700000,0,0
109.810158,11800000,0,0
110.730676,11900000,0,0
111.633571,12000000,0,0
112.545947,12100000,0,0
113.437559,12200000,0,0
114.348525,12300000,0,0
115.272211,12400000,0,0
116.214836,12500000,0,0
117.146873,12600000,0,0
118.089373,12700000,0,0
119.031051,12800000,0,0
119.959448,12900000,0,0
120.928724,13000000,0,0
121.858552,13100000,0,0
122.791717,13200000,0,0
123.69893,13300000,0,0
124.628779,13400000,0,0
125.547625,13500000,0,0
126.465313,13600000,0,0
127.396941,13700000,0,0
128.309746,13800000,0,0
129.23574,13900000,0,0
130.148732,14000000,0,0
131.079046,14100000,0,0
131.988617,14200000,0,0
132.889888,14300000,0,0
133.788258,14400000,0,0
134.682883,14500000,0,0
135.598373,14600000,0,0
136.49274,14700000,0,0
137.408245,14800000,0,0
138.346986,14900000,0,0
139.272063,15000000,0,0
140.173824,15100000,0,0
141.095052,15200000,0,0
142.015504,15300000,0,0
142.921794,15400000,0,0
143.847187,15500000,0,0
144.768423,15600000,0,0
145.671648,15700000,0,0
146.583051,15800000,0,0
147.519494,15900000,0,0
148.429894,16000000,0,0
149.344162,16100000,0,0
150.270278,16200000,0,0
151.182671,16300000,0,0
152.070981,16400000,0,0
152.979658,16500000,0,0
153.876011,16600000,0,0
154.785565,16700000,0,0
155.667168,16800000,0,0
156.58235,16900000,0,0
157.483961,17000000,0,0
158.423379,17100000,0,0
159.351074,17200000,0,0
160.290868,17300000,0,0
161.237965,17400000,0,0
162.165858,17500000,0,0
163.09696,17600000,0,0
164.035021,17700000,0,0
164.986937,17800000,0,0
165.948319,17900000,0,0
166.882618,18000000,0,0
167.848064,18100000,0,0
168.795679,18200000,0,0
169.738738,18300000,0,0
170.670412,18400000,0,0
171.615849,18500000,0,0
172.542746,18600000,0,0
173.451904,18700000,0,0
174.365701,18800000,0,0
175.294767,18900000,0,0
176.228269,19000000,0,0
177.142715,19100000,0,0
178.0579,19200000,0,0
178.951763,19300000,0,0
179.847982,19400000,0,0
180.748474,19500000,0,0
181.683711,19600000,0,0
182.605491,19700000,0,0
183.513845,19800000,0,0
184.4848,19900000,0,0
185.384508,20000000,0,0
186.290135,20100000,0,0
187.221329,20200000,0,0
188.130481,20300000,0,0
189.038949,20400000,0,0
189.967223,20500000,0,0
190.871445,20600000,0,0
191.819519,20700000,0,0
192.71829,20800000,0,0
193.667088,20900000,0,0
194.613407,21000000,0,0
195.565303,21100000,0,0
196.488922,21200000,0,0
197.408242,21300000,0,0
198.328984,21400000,0,0
199.243239,21500000,0,0
200.180152,21600000,0,0
201.106138,21700000,0,0
202.036797,21800000,0,0
202.929299,21900000,0,0
203.828316,22000000,0,0
204.728359,22100000,0,0
205.626804,22200000,0,0
206.532223,22300000,0,0
207.417597,22400000,0,0
208.350308,22500000,0,0
209.27773,22600000,0,0
210.228758,22700000,0,0
211.157811,22800000,0,0
212.089872,22900000,0,0
213.04338,23000000,0,0
213.97384,23100000,0,0
214.919177,23200000,0,0
215.866217,23300000,0,0
216.834988,23400000,0,0
217.777573,23500000,0,0
218.732521,23600000,0,0
219.67606,23700000,0,0
220.613437,23800000,0,0
221.565589,23900000,0,0
222.499292,24000000,0,0
223.442584,24100000,0,0
224.382006,24200000,0,0
225.313129,24300000,0,0
226.247107,24400000,0,0
227.184602,24500000,0,0
228.104229,24600000,0,0
229.023263,24700000,0,0
229.943447,24800000,0,0
230.843003,24900000,0,0
231.743647,25000000,0,0
232.669509,25100000,0,0
233.580851,25200000,0,0
234.480512,25300000,0,0
235.393532,25400000,0,0
236.312103,25500000,0,0
237.253438,25600000,0,0
238.17839,25700000,0,0
239.089167,25800000,0,0
240.025082,25900000,0,0
240.924454,26000000,0,0
241.82597,26100000,0,0
242.736043,26200000,0,0
243.64737,26300000,0,0
244.600246,26400000,0,0
245.541932,26500000,0,0
246.508011,26600000,0,0
247.472918,26700000,0,0
248.421744,26800000,0,0
249.339662,26900000,0,0
250.273263,27000000,0,0
251.215656,27100000,0,0
252.192449,27200000,0,0
253.137207,27300000,0,0
254.083973,27400000,0,0
255.0185,27500000,0,0
255.94435,27600000,0,0
256.849061,27700000,0,0
257.765678,27800000,0,0
258.673322,27900000,0,0
259.56838,28000000,0,0
260.460116,28100000,0,0
261.357524,28200000,0,0
262.241221,28300000,0,0
263.154731,28400000,0,0
264.088237,28500000,0,0
265.029699,28600000,0,0
265.969443,28700000,0,0
266.895094,28800000,0,0
267.853491,28900000,0,0
268.778261,29000000,0,0
269.720782,29100000,0,0
270.650624,29200000,0,0
271.584474,29300000,0,0
272.534691,29400000,0,0
273.47467,29500000,0,0
274.438564,29600000,0,0
275.374605,29700000,0,0
276.324383,29800000,0,0
277.252933,29900000,0,0
278.197484,30000000,0,0
279.133723,30100000,0,0
280.05928,30200000,0,0
280.978094,30300000,0,0
281.892024,30400000,0,0
282.805925,30500000,0,0
283.750053,30600000,0,0
284.663884,30700000,0,0
285.562768,30800000,0,0
286.466836,30900000,0,0
287.364611,31000000,0,0
288.261017,31100000,0,0
289.171362,31200000,0,0
290.06971,31300000,0,0
290.960875,31400000,0,0
291.875813,31500000,0,0
292.780193,31600000,0,0
293.714475,31700000,0,0
294.63682,31800000,0,0
295.560747,31900000,0,0
296.474808,32000000,0,0
297.411036,32100000,0,0
298.324736,32200000,0,0
299.26848,32300000,0,0
300.201124,32400000,0,0
301.142208,32500000,0,0
302.09856,32600000,0,0
303.030295,32700000,0,0
303.988247,32800000,0,0
304.925099,32900000,0,0
305.871063,33000000,0,0
306.815032,33100000,0,0
307.729435,33200000,0,0
308.668013,33300000,0,0
309.594555,33400000,0,0
310.508604,33500000,0,0
311.413649,33600000,0,0
312.30631,33700000,0,0
313.214393,33800000,0,0
314.110304,33900000,0,0
315.031289,34000000,0,0
315.927996,34100000,0,0
316.827971,34200000,0,0
317.748388,34300000,0,0
318.681094,34400000,0,0
319.60205,34500000,0,0
320.517247,34600000,0,0
321.459823,34700000,0,0
322.377703,34800000,0,0
323.308584,34900000,0,0
324.221843,35000000,0,0
325.163683,35100000,0,0
326.114699,35200000,0,0
327.028287,35300000,0,0
327.938475,35400000,0,0
328.837139,35500000,0,0
329.739917,35600000,0,0
330.630275,35700000,0,0
331.514119,35800000,0,0
332.409564,35900000,0,0
333.321017,36000000,0,0
334.245151,36100000,0,0
335.15089,36200000,0,0
336.061081,36300000,0,0
337.01108,36400000,0,0
337.946158,36500000,0,0
338.871834,36600000,0,0
339.795609,36700000,0,0
340.740716,36800000,0,0
341.661469,36900000,0,0
342.584242,37000000,0,0
343.511487,37100000,0,0
344.424837,37200000,0,0
345.377335,37300000,0,0
346.33211,37400000,0,0
347.276988,37500000,0,0
348.226973,37600000,0,0
349.167103,37700000,0,0
350.104712,37800000,0,0
351.07781,37900000,0,0
352.021442,38000000,0,0
352.973746,38100000,0,0
353.907378,38200000,0,0
354.842569,38300000,0,0
355.786201,38400000,0,0
356.712298,38500000,0,0
357.659823,38600000,0,0
358.55427,38700000,0,0
359.456267,38800000,0,0
360.361985,38900000,0,0
361.27163,39000000,0,0
362.176898,39100000,0,0
363.088775,39200000,0,0
364.009861,39300000,0,0
364.952598,39400000,0,0
365.888816,39500000,0,0
366.809548,39600000,0,0
367.744979,39700000,0,0
368.683492,39800000,0,0
369.60367,39900000,0,0
370.508823,40000000,0,0
371.413766,40100000,0,0
372.326444,40200000,0,0
373.259819,40300000,0,0
374.187649,40400000,0,0
375.094193,40500000,0,0
376.010931,40600000,0,0
376.917821,40700000,0,0
377.823321,40800000,0,0
378.726447,40900000,0,0
379.611489,41000000,0,0
380.502893,41100000,0,0
381.397677,41200000,0,0
382.331861,41300000,0,0
383.25181,41400000,0,0
384.180317,41500000,0,0
385.097594,41600000,0,0
386.018565,41700000,0,0
386.93145,41800000,0,0
387.847217,41900000,0,0
388.775461,42000000,0,0
389.688256,42100000,0,0
390.640851,42200000,0,0
391.575974,42300000,0,0
392.514973,42400000,0,0
393.443333,42500000,0,0
394.34372,42600000,0,0
395.245831,42700000,0,0
396.154714,42800000,0,0
397.045791,42900000,0,0
397.945428,43000000,0,0
398.840252,43100000,0,0
399.774945,43200000,0,0
400.711624,43300000,0,0
401.623281,43400000,0,0
402.574527,43500000,0,0
403.497332,43600000,0,0
404.425476,43700000,0,0
405.362962,43800000,0,0
406.314883,43900000,0,0
407.272738,44000000,0,0
408.213501,44100000,0,0
409.134474,44200000,0,0
410.063867,44300000,0,0
410.98726,44400000,0,0
411.917239,44500000,0,0
412.855827,44600000,0,0
413.800841,44700000,0,0
414.736198,44800000,0,0
415.684244,44900000,0,0
416.624736,45000000,0,0
417.579415,45100000,0,0
418.527282,45200000,0,0
419.484209,45300000,0,0
420.432617,45400000,0,0
421.385017,45500000,0,0
422.311805,45600000,0,0
423.245409,45700000,0,0
424.143508,45800000,0,0
425.035065,45900000,0,0
425.930431,46000000,0,0
426.831622,46100000,0,0
427.727208,46200000,0,0
428.62962,46300000,0,0
429.570662,46400000,0,0
430.497528,46500000,0,0
431.419398,46600000,0,0
