Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.078234,1001,1000,1000
0.153557,2001,1999,999
0.225111,3001,2998,999
0.298212,4001,3997,999
0.376454,5001,4996,999
0.446745,6001,5995,999
0.518043,7001,6994,999
0.588104,8001,7993,999
0.658142,9001,8992,999
0.728329,10001,9991,999
0.798548,11001,10990,999
0.868565,12001,11989,999
0.938978,13001,12988,999
1.009403,14001,13987,999
1.079957,15001,14986,999
1.162345,16001,15985,999
1.233509,17001,16984,999
1.310286,18001,17983,999
1.383171,19001,18982,999
1.453289,20001,19981,999
1.531005,21001,20980,999
1.604637,22001,21979,999
1.674632,23001,22978,999
1.744654,24001,23977,999
1.819478,25001,24976,999
1.896285,26001,25975,999
1.973564,27001,26974,999
2.051576,28001,27973,999
2.121886,29001,28972,999
2.192037,30001,29971,999
2.263099,31001,30970,999
2.337956,32001,31969,999
2.408135,33001,32968,999
2.481591,34001,33967,999
2.556537,35001,34966,999
2.626645,36001,35965,999
2.696707,37001,36964,999
2.766712,38001,37963,999
2.836752,39001,38962,999
2.907063,40001,39961,999
2.981764,41001,40960,999
3.059601,42001,41959,999
3.134528,43001,42958,999
3.20512,44001,43957,999
3.283208,45001,44956,999
3.360007,46001,45955,999
3.433307,47001,46954,999
3.510736,48001,47953,999
3.586374,49001,48952,999
3.660507,50001,49951,999
3.738766,51001,50950,999
3.811976,52001,51949,999
3.88898,53001,52948,999
3.971213,54001,53947,999
4.042264,55001,54946,999
4.114219,56001,55945,999
4.18693,57001,56944,999
4.259122,58001,57943,999
4.333139,59001,58942,999
4.41116,60001,59941,999
4.494231,61001,60940,999
4.574035,62001,61939,999
4.646607,63001,62938,999
4.716784,64001,63937,999
4.786842,65001,64936,999
4.858292,66001,65935,999
4.937312,67001,66934,999
5.008627,68001,67933,999
5.080261,69001,68932,999
5.154097,70001,69931,999
5.224652,71001,70930,999
5.295083,72001,71929,999
5.365304,73001,72928,999
5.435604,74001,73927,999
5.505966,75001,74926,999
