Duration (s),Method,Test-ID,Client,Server,Port,Cycle Time (ns),Datagram Size (B),QoS,Stress,Intensity,Location,Status,Losses [total],Losses [ratio](%),Losses [location],Pakets [total],PPS [udp],PPS [ip],Bandwidth [net](Mbps),Bandwidth [gross](Mbps),Timer Misses,Remarks
100,CUSTOM,209503_040550_280923,10.0.0.1,10.0.0.2,8100,2500,80,False,TIMER,16.0,SERVER,SUCCESS,0,0.0,,17527856,175278,175278,112.17792,171.071328,22125373,Server data missing.
100,CUSTOM,212810_081303_041023,10.0.0.1,10.0.0.2,8100,2500,80,False,NETWORK,10.0,CLIENT,SUCCESS,0,0.0,,16308385,163083,163083,104.37312,159.169008,23687699,Server data missing.
100,CUSTOM,313817_065158_270923,10.0.0.1,10.0.0.2,8100,2500,80,False,MEMORY,16.0,CLIENT,SUCCESS,0,0.0,,13142663,131426,131426,84.11264,128.271776,26492574,Server data missing.
100,CUSTOM,315623_083850_041023,10.0.0.1,10.0.0.2,8100,2500,80,False,NETWORK,10.0,SERVER,SUCCESS,0,0.0,,16213842,162138,162138,103.76832,158.246688,23782333,Server data missing.
100,CUSTOM,334678_085111_280923,10.0.0.1,10.0.0.2,8100,2500,80,False,NETWORK_DIRECT,2.5,SERVER,SUCCESS,0,0.0,,16837666,168376,168376,107.76064,164.334976,22823575,Server data missing.
100,CUSTOM,383484_084458_270923,10.0.0.1,10.0.0.2,8100,2500,80,False,CPU_KERNEL,16.0,CLIENT,SUCCESS,0,0.0,,11940367,119403,119403,76.41792,116.537328,27698624,Server data missing.
100,CUSTOM,407775_033735_280923,10.0.0.1,10.0.0.2,8100,2500,80,False,IO,16.0,SERVER,SUCCESS,0,0.0,,17461383,174613,174613,111.75232,170.422288,22186404,Server data missing.
100,CUSTOM,462517_062402_041023,10.0.0.1,10.0.0.2,8100,2500,80,False,NONE,0.0,BOTH,SUCCESS,0,0.0,,16287535,162875,162875,104.24,158.966,23708602,Server data missing.
100,CUSTOM,587339_112007_280923,10.0.0.1,10.0.0.2,8100,2500,80,False,NETWORK_TRAFFIC,10.0,BOTH,SUCCESS,0,0.0,,15894164,158941,158941,101.72224,155.126416,24050527,Server data missing.
100,CUSTOM,679892_044911_280923,10.0.0.1,10.0.0.2,8100,2500,80,False,MEMORY,16.0,SERVER,SUCCESS,1833,0.00010444486103363375,Server [NO DATA]  Route (Switch),17549930,175499,175499,112.31936,171.287024,22108553,Server data missing.
100,CUSTOM,692646_122401_270923,10.0.0.1,10.0.0.2,8100,2500,80,False,CPU_KERNEL,16.0,SERVER,SUCCESS,0,0.0,,17578151,175781,175781,112.49984,171.562256,22069601,Server data missing.
