Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.199969,1001,0,0
0.399813,2001,0,0
0.599829,3001,0,0
0.799575,4001,0,0
0.999408,5001,0,0
1.199261,6001,0,0
1.399079,7001,0,0
1.598802,8001,0,0
1.79869,9001,0,0
1.998487,10001,0,0
2.198275,11001,0,0
2.39796,12001,0,0
2.597807,13001,0,0
2.79758,14001,0,0
2.997399,15001,0,0
3.197232,16001,0,0
3.396989,17001,0,0
3.596784,18001,0,0
3.796612,19001,0,0
3.996364,20001,0,0
4.196256,21001,0,0
4.39602,22001,0,0
4.595848,23001,0,0
4.795835,24001,0,0
4.995603,25001,0,0
5.195371,26001,0,0
5.395194,27001,0,0
5.594967,28001,0,0
5.79478,29001,0,0
5.994779,30001,0,0
6.194572,31001,0,0
6.394374,32001,0,0
6.594295,33001,0,0
6.793996,34001,0,0
6.99382,35001,0,0
7.193804,36001,0,0
7.39364,37001,0,0
7.593368,38001,0,0
7.793211,39001,0,0
7.992969,40001,0,0
8.192937,41001,0,0
8.392924,42001,0,0
8.592579,43001,0,0
8.792376,44001,0,0
8.992439,45001,0,0
9.192198,46001,0,0
9.391968,47001,0,0
9.592013,48001,0,0
9.791897,49001,0,0
9.991677,50001,0,0
10.191594,51001,0,0
10.391374,52001,0,0
10.591236,53001,0,0
10.791061,54001,0,0
10.990845,55001,0,0
11.190577,56001,0,0
11.390623,57001,0,0
11.590382,58001,0,0
11.790251,59001,0,0
11.990192,60001,0,0
12.19003,61001,0,0
12.389826,62001,0,0
12.589614,63001,0,0
12.78942,64001,0,0
12.989234,65001,0,0
13.188987,66001,0,0
13.388838,67001,0,0
13.588577,68001,0,0
13.788371,69001,0,0
13.98824,70001,0,0
14.18804,71001,0,0
14.38787,72001,0,0
14.587624,73001,0,0
14.787427,74001,0,0
14.987198,75001,0,0
15.187035,76001,0,0
15.38681,77001,0,0
15.586603,78001,0,0
15.786372,79001,0,0
15.986246,80001,0,0
16.185978,81001,0,0
16.385838,82001,0,0
16.585565,83001,0,0
16.785414,84001,0,0
16.985201,85001,0,0
17.184978,86001,0,0
17.384801,87001,0,0
17.584594,88001,0,0
17.784365,89001,0,0
17.984218,90001,0,0
18.18399,91001,0,0
18.383826,92001,0,0
18.583585,93001,0,0
18.783412,94001,0,0
18.983247,95001,0,0
19.182986,96001,0,0
19.382878,97001,0,0
19.582708,98001,0,0
19.782438,99001,0,0
19.982222,100001,0,0
20.181959,101001,0,0
20.38178,102001,0,0
20.58157,103001,0,0
20.781446,104001,0,0
20.98124,105001,0,0
21.181046,106001,0,0
21.38089,107001,0,0
21.580807,108001,0,0
21.78056,109001,0,0
21.980362,110001,0,0
22.180235,111001,0,0
22.379983,112001,0,0
22.579849,113001,0,0
22.779566,114001,0,0
22.979365,115001,0,0
23.179232,116001,0,0
23.379316,117001,0,0
23.578977,118001,0,0
23.778786,119001,1,1
23.978578,120001,1,0
24.178364,121001,1,0
24.378218,122001,1,0
24.57823,123001,1,0
24.778022,124001,1,0
24.9778,125001,1,0
25.177668,126001,1,0
25.377407,127001,2,1
25.577319,128001,2,0
25.776986,129001,2,0
25.976824,130001,2,0
26.17661,131001,2,0
26.376405,132001,2,0
26.576284,133001,2,0
26.776065,134001,2,0
26.976073,135001,2,0
27.17577,136001,2,0
27.375591,137001,2,0
27.575434,138001,2,0
27.775233,139001,2,0
27.975019,140001,2,0
28.174801,141001,2,0
28.374603,142001,2,0
28.574374,143001,2,0
28.774228,144001,2,0
28.974008,145001,2,0
29.173916,146001,2,0
29.373641,147001,2,0
29.573391,148001,2,0
29.773205,149001,2,0
29.972991,150001,2,0
30.172795,151001,2,0
30.372607,152001,2,0
30.572386,153001,2,0
30.772192,154001,2,0
30.972027,155001,2,0
31.171782,156001,2,0
31.371604,157001,2,0
31.571377,158001,2,0
31.771224,159001,2,0
31.971048,160001,2,0
32.170825,161001,2,0
32.370586,162001,2,0
32.570359,163001,2,0
32.770166,164001,2,0
32.970012,165001,2,0
33.169819,166001,2,0
33.369662,167001,2,0
33.569594,168001,2,0
33.769367,169001,2,0
33.969248,170001,2,0
34.16902,171001,2,0
34.368788,172001,2,0
34.5686,173001,2,0
34.768423,174001,2,0
34.968416,175001,2,0
35.168185,176001,2,0
35.367989,177001,2,0
35.567841,178001,2,0
35.767629,179001,2,0
35.967637,180001,2,0
36.167475,181001,2,0
36.367208,182001,2,0
36.567034,183001,2,0
36.766858,184001,2,0
36.966624,185001,2,0
37.166452,186001,2,0
37.366222,187001,2,0
37.566066,188001,2,0
37.765796,189001,2,0
37.965666,190001,2,0
38.165374,191001,2,0
38.36517,192001,2,0
38.565001,193001,2,0
38.764834,194001,2,0
38.964588,195001,2,0
39.164378,196001,2,0
39.364168,197001,2,0
39.564007,198001,2,0
39.76391,199001,2,0
39.963608,200001,2,0
40.163362,201001,2,0
40.363318,202001,2,0
40.563115,203001,2,0
40.762781,204001,2,0
40.962646,205001,2,0
41.162372,206001,2,0
41.362259,207001,2,0
41.562046,208001,2,0
41.7618,209001,2,0
41.961607,210001,2,0
42.161354,211001,2,0
42.361278,212001,2,0
42.560972,213001,2,0
42.760813,214001,2,0
42.960605,215001,2,0
43.160413,216001,2,0
43.360177,217001,2,0
43.559993,218001,2,0
43.759766,219001,2,0
43.959608,220001,2,0
44.159377,221001,2,0
44.359186,222001,2,0
44.559072,223001,2,0
44.758845,224001,2,0
44.958569,225001,2,0
45.158411,226001,2,0
45.358208,227001,2,0
45.557977,228001,2,0
45.757765,229001,2,0
45.957603,230001,2,0
46.157401,231001,2,0
46.35717,232001,2,0
46.557019,233001,2,0
46.756819,234001,2,0
46.956694,235001,2,0
47.156381,236001,2,0
47.356253,237001,2,0
47.555985,238001,2,0
47.75585,239001,2,0
47.955567,240001,2,0
48.155405,241001,2,0
48.355173,242001,2,0
48.555041,243001,2,0
48.754787,244001,2,0
48.954566,245001,2,0
49.154389,246001,2,0
49.354244,247001,2,0
49.553996,248001,2,0
49.753861,249001,2,0
49.953685,250001,2,0
50.153372,251001,2,0
50.353179,252001,2,0
50.552999,253001,2,0
50.752823,254001,2,0
50.952597,255001,2,0
51.152372,256001,2,0
51.352229,257001,2,0
51.551991,258001,2,0
51.751785,259001,2,0
51.951636,260001,2,0
52.151381,261001,2,0
52.351166,262001,2,0
52.551084,263001,2,0
52.750784,264001,2,0
52.950589,265001,2,0
