Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.279894,1001,1,1
0.839351,3001,1,0
1.398831,5001,1,0
1.958223,7001,1,0
2.517674,9001,1,0
3.07711,11001,1,0
3.636539,13001,1,0
4.195962,15001,1,0
4.755438,17001,1,0
5.314881,19001,1,0
5.874313,21001,1,0
6.433768,23001,1,0
6.993202,25001,1,0
7.552694,27001,1,0
8.112352,29001,1,0
8.671798,31001,1,0
9.231237,33001,1,0
9.79095,35001,1,0
10.350398,37001,1,0
10.909811,39001,1,0
11.469309,41001,1,0
12.028967,43001,1,0
12.588433,45001,1,0
13.147883,47001,1,0
13.707322,49001,1,0
14.266755,51001,1,0
14.826287,53001,1,0
15.38568,55001,1,0
15.945057,57001,1,0
16.504499,59001,1,0
17.063931,61001,1,0
17.623374,63001,1,0
18.18284,65001,1,0
18.742354,67001,1,0
19.301725,69001,1,0
19.861205,71001,1,0
20.420579,73001,1,0
20.980009,75001,1,0
21.539472,77001,1,0
22.098899,79001,1,0
22.658342,81001,1,0
23.217797,83001,1,0
23.777246,85001,1,0
24.336714,87001,1,0
24.896104,89001,1,0
25.455549,91001,1,0
26.014978,93001,1,0
26.574418,95001,1,0
27.133851,97001,1,0
27.693297,99001,1,0
28.252746,101001,1,0
28.812211,103001,1,0
29.371732,105001,3,0
29.93109,107001,3,0
30.490561,109001,3,0
31.049933,111001,3,0
31.609363,113001,3,0
32.168815,115001,3,0
32.728269,117001,3,0
33.287729,119001,3,0
33.847147,121001,3,0
34.40659,123001,3,0
34.96607,125001,3,0
35.525481,127001,3,0
36.08489,129001,3,0
36.644325,131001,3,0
37.203805,133001,3,0
37.763247,135001,3,0
38.322653,137001,3,0
38.882134,139001,3,0
39.441542,141001,3,0
40.000995,143001,3,0
40.560436,145001,3,0
41.119899,147001,3,0
41.679309,149001,3,0
42.238751,151001,3,0
42.798186,153001,3,0
43.357652,155001,3,0
43.917074,157001,3,0
44.476601,159001,3,0
45.035944,161001,3,0
45.595377,163001,3,0
46.154814,165001,3,0
46.714246,167001,3,0
47.273689,169001,3,0
47.833165,171001,3,0
48.392563,173001,3,0
48.952069,175001,3,0
49.511489,177001,3,0
50.070893,179001,3,0
50.630321,181001,3,0
51.189795,183001,3,0
51.749217,185001,3,0
