Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.979221,100001,0,0
2.950078,300001,0,0
4.931193,500001,0,0
6.912025,700001,0,0
8.894264,900001,0,0
10.876091,1100001,0,0
12.856357,1300001,0,0
14.810997,1500001,0,0
16.764835,1700001,0,0
18.720237,1900001,0,0
20.676008,2100001,0,0
22.631161,2300001,0,0
24.588337,2500001,0,0
26.542843,2700001,0,0
28.497317,2900001,0,0
30.452978,3100001,0,0
32.408758,3300001,0,0
34.365795,3500001,0,0
36.319,3700001,0,0
38.270673,3900001,0,0
40.223229,4100001,0,0
42.174087,4300001,0,0
44.124866,4500001,0,0
46.077527,4700001,0,0
48.02726,4900001,0,0
49.981242,5100001,0,0
51.933823,5300001,0,0
53.88768,5500001,0,0
55.855991,5700001,0,0
57.834349,5900001,0,0
59.803178,6100001,0,0
61.754304,6300001,0,0
63.706688,6500001,0,0
65.65978,6700001,0,0
67.612331,6900001,0,0
69.565128,7100001,0,0
71.520122,7300001,0,0
73.47175,7500001,0,0
75.423881,7700001,0,0
77.375115,7900001,0,0
79.330372,8100001,0,0
81.282273,8300001,0,0
83.234708,8500001,0,0
85.1879,8700001,0,0
87.13992,8900001,0,0
89.091931,9100001,0,0
91.043985,9300001,0,0
92.997415,9500001,0,0
94.95317,9700001,0,0
96.90764,9900001,0,0
98.86072,10100001,0,0
100.82193,10300001,0,0
102.804018,10500001,0,0
104.785626,10700001,0,0
106.76744,10900001,0,0
108.748542,11100001,0,0
110.730508,11300001,0,0
112.7125,11500001,0,0
114.695145,11700001,0,0
116.676288,11900001,0,0
118.657609,12100001,0,0
120.639497,12300001,0,0
122.620329,12500001,0,0
124.602178,12700001,0,0
126.584007,12900001,0,0
128.56681,13100001,0,0
130.548513,13300001,0,0
132.530476,13500001,0,0
134.513088,13700001,0,0
136.494426,13900001,0,0
138.475491,14100001,0,0
140.45736,14300001,0,0
142.438911,14500001,0,0
144.421854,14700001,0,0
146.403941,14900001,0,0
148.384881,15100001,0,0
150.367438,15300001,0,0
152.349806,15500001,0,0
154.332272,15700001,0,0
156.313874,15900001,0,0
158.296336,16100001,0,0
160.277792,16300001,0,0
162.260251,16500001,0,0
164.242193,16700001,0,0
166.224268,16900001,0,0
168.206517,17100001,0,0
170.188235,17300001,0,0
172.16969,17500001,0,0
174.150503,17700001,0,0
176.133146,17900001,0,0
178.115743,18100001,0,0
180.098746,18300001,0,0
182.081003,18500001,0,0
184.063609,18700001,0,0
186.046558,18900001,0,0
188.029321,19100001,0,0
190.011555,19300001,0,0
191.993101,19500001,0,0
193.97607,19700001,0,0
195.958047,19900001,0,0
197.939125,20100001,0,0
199.921132,20300001,0,0
201.903623,20500001,0,0
203.885292,20700001,0,0
205.867253,20900001,0,0
207.850238,21100001,0,0
209.832332,21300001,0,0
211.813787,21500001,0,0
213.796639,21700001,0,0
215.779347,21900001,0,0
217.760363,22100001,0,0
219.741684,22300001,0,0
221.723702,22500001,0,0
223.70659,22700001,0,0
225.688785,22900001,0,0
227.670882,23100001,0,0
229.653464,23300001,0,0
231.635655,23500001,0,0
233.616574,23700001,0,0
235.598417,23900001,0,0
237.581557,24100001,0,0
239.56402,24300001,0,0
241.546246,24500001,0,0
243.528485,24700001,0,0
245.511348,24900001,0,0
247.494093,25100001,0,0
249.476301,25300001,0,0
251.456853,25500001,0,0
253.439569,25700001,0,0
255.421566,25900001,0,0
257.403669,26100001,0,0
259.386252,26300001,0,0
261.369091,26500001,0,0
263.352334,26700001,0,0
265.33341,26900001,0,0
267.314815,27100001,0,0
269.29716,27300001,0,0
271.27884,27500001,0,0
273.260422,27700001,0,0
275.243424,27900001,0,0
277.226274,28100001,0,0
279.207713,28300001,0,0
281.19075,28500001,0,0
283.172346,28700001,0,0
285.153921,28900001,0,0
287.13511,29100001,0,0
289.116773,29300001,0,0
291.098111,29500001,0,0
293.080502,29700001,0,0
295.061938,29900001,0,0
297.043743,30100001,0,0
299.025841,30300001,0,0
301.008445,30500001,0,0
302.991812,30700001,0,0
304.974939,30900001,0,0
306.956883,31100001,0,0
308.938876,31300001,0,0
310.921285,31500001,0,0
312.904147,31700001,0,0
314.886153,31900001,0,0
316.868475,32100001,0,0
318.849908,32300001,0,0
320.832898,32500001,0,0
322.814477,32700001,0,0
