Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.789826,100001,0,0
1.586519,200001,0,0
2.402973,300001,0,0
3.284861,400001,0,0
4.245995,500001,0,0
5.274627,600001,0,0
6.315658,700001,0,0
7.339993,800001,0,0
8.371895,900001,0,0
9.415899,1000001,0,0
10.454827,1100001,0,0
11.482851,1200001,0,0
12.503845,1300001,0,0
13.53407,1400001,0,0
14.562453,1500001,0,0
15.586668,1600001,0,0
16.591775,1700001,0,0
17.590229,1800001,0,0
18.605085,1900001,0,0
19.618343,2000001,0,0
20.629932,2100001,0,0
21.649788,2200001,0,0
22.678747,2300001,0,0
23.709127,2400001,0,0
24.738203,2500001,0,0
25.764518,2600001,0,0
26.783558,2700001,0,0
27.801623,2800001,0,0
28.809863,2900001,0,0
29.805528,3000001,0,0
30.815405,3100001,0,0
31.81423,3200001,0,0
32.823264,3300001,0,0
33.825707,3400001,0,0
34.828371,3500001,0,0
35.843509,3600001,0,0
36.859509,3700001,0,0
37.858779,3800001,0,0
38.865087,3900001,0,0
39.866228,4000001,0,0
40.86168,4100001,0,0
41.855218,4200001,0,0
42.862818,4300001,0,0
43.857251,4400001,0,0
44.848857,4500001,0,0
45.852875,4600001,0,0
46.859866,4700001,0,0
47.866403,4800001,0,0
48.886854,4900001,0,0
49.914362,5000001,0,0
50.924808,5100001,0,0
51.936105,5200001,0,0
52.947463,5300001,0,0
53.959187,5400001,0,0
54.988113,5500001,0,0
56.04082,5600001,0,0
57.065252,5700001,0,0
58.088975,5800001,0,0
59.110116,5900001,0,0
60.158011,6000001,0,0
61.189508,6100001,0,0
62.20443,6200001,0,0
63.215273,6300001,0,0
64.22598,6400001,0,0
65.239268,6500001,0,0
66.24851,6600001,0,0
67.264217,6700001,0,0
68.278566,6800001,0,0
69.2954,6900001,0,0
70.314611,7000001,0,0
71.334263,7100001,0,0
72.351843,7200001,0,0
73.359163,7300001,0,0
74.385197,7400001,0,0
75.40533,7500001,0,0
76.427538,7600001,0,0
77.446297,7700001,0,0
78.466116,7800001,0,0
79.490763,7900001,0,0
80.511166,8000001,0,0
81.526497,8100001,0,0
82.542318,8200001,0,0
83.556215,8300001,0,0
84.572492,8400001,0,0
85.585457,8500001,0,0
86.609552,8600001,0,0
87.619416,8700001,0,0
88.640078,8800001,0,0
89.656217,8900001,0,0
90.676438,9000001,0,0
91.694224,9100001,0,0
92.716623,9200001,0,0
93.731525,9300001,0,0
94.749257,9400001,0,0
95.759793,9500001,0,0
96.779867,9600001,0,0
97.805743,9700001,0,0
98.82557,9800001,0,0
99.853017,9900001,0,0
100.871218,10000001,0,0
101.898435,10100001,0,0
102.920707,10200001,0,0
103.940185,10300001,0,0
104.95143,10400001,0,0
105.969653,10500001,0,0
106.995185,10600001,0,0
108.019377,10700001,0,0
109.034623,10800001,0,0
110.048324,10900001,0,0
111.06314,11000001,0,0
112.07635,11100001,0,0
113.097946,11200001,0,0
114.114945,11300001,0,0
115.127988,11400001,0,0
116.142809,11500001,0,0
117.159119,11600001,0,0
118.170928,11700001,0,0
119.176594,11800001,0,0
119.724212,11854184,0,0
