Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.274089,100001,0,0
10.602256,200001,0,0
15.928321,300001,0,0
21.249919,400001,0,0
26.601719,500001,0,0
31.918747,600001,0,0
37.22939,700001,0,0
42.543987,800001,0,0
47.875739,900001,0,0
53.26348,1000001,0,0
58.858353,1100001,0,0
64.506377,1200001,0,0
70.214647,1300001,0,0
76.004665,1400001,0,0
81.805566,1500001,0,0
87.592515,1600001,0,0
93.361484,1700001,0,0
99.160777,1800001,0,0
104.945917,1900001,0,0
110.610085,2000001,0,0
116.212007,2100001,0,0
119.970863,2166892,0,0
