Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.59219,100001,0,0
1.223453,200001,0,0
1.901106,300001,0,0
2.713029,400001,0,0
3.589051,500001,0,0
4.465904,600001,0,0
5.325569,700001,0,0
6.157427,800001,0,0
7.003847,900001,0,0
7.848761,1000001,0,0
8.693017,1100001,0,0
9.556629,1200001,0,0
10.39635,1300001,0,0
11.268135,1400001,0,0
12.151286,1500001,0,0
13.026417,1600001,0,0
13.898451,1700001,0,0
14.749444,1800001,0,0
15.618195,1900001,0,0
16.495827,2000001,0,0
17.384875,2100001,0,0
18.269214,2200001,0,0
19.14485,2300001,0,0
20.014119,2400001,0,0
20.897997,2500001,0,0
21.738307,2600001,0,0
22.598082,2700001,0,0
23.400857,2800001,0,0
24.220167,2900001,0,0
25.047925,3000001,0,0
25.890895,3100001,0,0
26.733883,3200001,0,0
27.578122,3300001,0,0
28.412184,3400001,0,0
29.241537,3500001,0,0
30.050508,3600001,0,0
30.877527,3700001,0,0
31.723191,3800001,0,0
32.561525,3900001,0,0
33.411718,4000001,0,0
34.265704,4100001,0,0
35.099595,4200001,0,0
35.921544,4300001,0,0
36.748711,4400001,0,0
37.578882,4500001,0,0
38.386572,4600001,0,0
39.189252,4700001,0,0
39.995227,4800001,0,0
40.825184,4900001,0,0
41.639712,5000001,0,0
42.436589,5100001,0,0
43.26513,5200001,0,0
44.085477,5300001,0,0
44.902528,5400001,0,0
45.732139,5500001,0,0
46.566613,5600001,0,0
47.398132,5700001,0,0
48.211513,5800001,0,0
49.008078,5900001,0,0
49.829869,6000001,0,0
50.666416,6100001,0,0
51.490198,6200001,0,0
52.314881,6300001,0,0
53.147595,6400001,0,0
53.971545,6500001,0,0
54.804516,6600001,0,0
55.640536,6700001,0,0
56.457119,6800001,0,0
57.262272,6900001,0,0
58.085057,7000001,0,0
58.913002,7100001,0,0
59.75233,7200001,0,0
60.583273,7300001,0,0
61.397209,7400001,0,0
62.236778,7500001,0,0
63.076407,7600001,0,0
63.883976,7700001,0,0
64.706833,7800001,0,0
65.506899,7900001,0,0
66.325472,8000001,0,0
67.148512,8100001,0,0
67.971237,8200001,0,0
68.783992,8300001,0,0
69.572631,8400001,0,0
70.389092,8500001,0,0
71.215796,8600001,0,0
72.039131,8700001,0,0
72.860724,8800001,0,0
73.686429,8900001,0,0
74.500653,9000001,0,0
75.304396,9100001,0,0
76.118613,9200001,0,0
76.94565,9300001,0,0
77.768087,9400001,0,0
78.608901,9500001,0,0
79.431051,9600001,0,0
80.252178,9700001,0,0
81.086018,9800001,0,0
81.919887,9900001,0,0
82.755977,10000001,0,0
83.591512,10100001,0,0
84.42071,10200001,0,0
85.251746,10300001,0,0
86.073322,10400001,0,0
86.900603,10500001,0,0
87.738336,10600001,0,0
88.568281,10700001,0,0
89.405192,10800001,0,0
90.197942,10900001,0,0
91.024308,11000001,0,0
91.855096,11100001,0,0
92.690267,11200001,0,0
93.526764,11300001,0,0
94.347259,11400001,0,0
95.177255,11500001,0,0
96.014398,11600001,0,0
96.81258,11700001,0,0
97.63394,11800001,0,0
98.470601,11900001,0,0
99.281312,12000001,0,0
100.087144,12100001,0,0
100.906682,12200001,0,0
101.707457,12300001,0,0
102.498866,12400001,0,0
103.307254,12500001,0,0
104.142034,12600001,0,0
104.973392,12700001,0,0
105.819377,12800001,0,0
106.649121,12900001,0,0
107.485916,13000001,0,0
108.302517,13100001,0,0
109.131056,13200001,0,0
109.973056,13300001,0,0
110.812005,13400001,0,0
111.644644,13500001,0,0
112.46601,13600001,0,0
113.271918,13700001,0,0
114.091763,13800001,0,0
114.919502,13900001,0,0
115.75964,14000001,0,0
116.576052,14100001,0,0
117.409359,14200001,0,0
118.232819,14300001,0,0
119.065296,14400001,0,0
119.895972,14500001,0,0
120.721853,14600001,0,0
121.551963,14700001,0,0
122.378344,14800001,0,0
123.21578,14900001,0,0
124.048441,15000001,0,0
124.877785,15100001,0,0
125.701805,15200001,0,0
126.536297,15300001,0,0
127.368622,15400001,0,0
128.208772,15500001,0,0
129.057547,15600001,0,0
129.892494,15700001,0,0
130.721265,15800001,0,0
131.549705,15900001,0,0
132.373355,16000001,0,0
133.206197,16100001,0,0
134.052963,16200001,0,0
134.887919,16300001,0,0
135.720591,16400001,0,0
136.54453,16500001,0,0
137.372387,16600001,0,0
138.207936,16700001,0,0
139.046906,16800001,0,0
139.880222,16900001,0,0
140.691618,17000001,0,0
141.478867,17100001,0,0
142.263734,17200001,0,0
143.096073,17300001,0,0
143.918119,17400001,0,0
144.747307,17500001,0,0
145.580314,17600001,0,0
146.412353,17700001,0,0
147.252917,17800001,0,0
148.073747,17900001,0,0
148.898455,18000001,0,0
149.727617,18100001,0,0
150.566996,18200001,0,0
151.396723,18300001,0,0
152.229559,18400001,0,0
153.068524,18500001,0,0
153.877413,18600001,0,0
154.693024,18700001,0,0
155.522614,18800001,0,0
156.343627,18900001,0,0
157.17942,19000001,0,0
158.014152,19100001,0,0
158.82194,19200001,0,0
159.651219,19300001,0,0
160.480887,19400001,0,0
161.308148,19500001,0,0
162.118633,19600001,0,0
162.91032,19700001,0,0
163.726173,19800001,0,0
164.561148,19900001,0,0
165.3796,20000001,0,0
166.193177,20100001,0,0
166.971257,20200001,0,0
167.766596,20300001,0,0
168.604786,20400001,0,0
169.427905,20500001,0,0
170.239643,20600001,0,0
171.065019,20700001,0,0
171.872179,20800001,0,0
172.680865,20900001,0,0
173.506611,21000001,0,0
174.326165,21100001,0,0
175.14128,21200001,0,0
175.954817,21300001,0,0
176.761646,21400001,0,0
177.575477,21500001,0,0
178.398768,21600001,0,0
179.227567,21700001,0,0
180.055688,21800001,0,0
180.886922,21900001,0,0
181.726351,22000001,0,0
182.557697,22100001,0,0
183.365119,22200001,0,0
184.135857,22300001,0,0
184.907049,22400001,0,0
185.691897,22500001,0,0
186.50307,22600001,0,0
187.325999,22700001,0,0
188.167392,22800001,0,0
188.993275,22900001,0,0
189.826184,23000001,0,0
190.639105,23100001,0,0
191.457851,23200001,0,0
192.286832,23300001,0,0
193.104897,23400001,0,0
193.928024,23500001,0,0
194.759016,23600001,0,0
195.558236,23700001,0,0
196.37975,23800001,0,0
197.208496,23900001,0,0
198.042497,24000001,0,0
198.841612,24100001,0,0
199.666999,24200001,0,0
200.487095,24300001,0,0
201.305062,24400001,0,0
202.124033,24500001,0,0
202.951915,24600001,0,0
203.77894,24700001,0,0
204.603724,24800001,0,0
205.435582,24900001,0,0
206.273788,25000001,0,0
207.096454,25100001,0,0
207.893746,25200001,0,0
208.723433,25300001,0,0
209.547572,25400001,0,0
210.391674,25500001,0,0
211.228742,25600001,0,0
212.067092,25700001,0,0
212.854991,25800001,0,0
213.650055,25900001,0,0
214.477771,26000001,0,0
215.29127,26100001,0,0
216.115477,26200001,0,0
216.959229,26300001,0,0
217.784319,26400001,0,0
218.59859,26500001,0,0
219.432479,26600001,0,0
220.264653,26700001,0,0
221.110939,26800001,0,0
221.945308,26900001,0,0
222.772248,27000001,0,0
223.608011,27100001,0,0
224.434607,27200001,0,0
225.277532,27300001,0,0
226.116785,27400001,0,0
226.949777,27500001,0,0
227.776789,27600001,0,0
228.608908,27700001,0,0
229.444418,27800001,0,0
230.271094,27900001,0,0
231.086627,28000001,0,0
231.921548,28100001,0,0
232.757426,28200001,0,0
233.598579,28300001,0,0
234.436956,28400001,0,0
235.253456,28500001,0,0
236.086195,28600001,0,0
236.918726,28700001,0,0
237.757329,28800001,0,0
238.572932,28900001,0,0
239.38768,29000001,0,0
240.182926,29100001,0,0
240.956755,29200001,0,0
241.760362,29300001,0,0
242.584883,29400001,0,0
243.422766,29500001,0,0
244.24278,29600001,0,0
245.059042,29700001,0,0
245.889017,29800001,0,0
246.703877,29900001,0,0
247.533474,30000001,0,0
248.371073,30100001,0,0
249.18834,30200001,0,0
250.022186,30300001,0,0
250.859518,30400001,0,0
251.698687,30500001,0,0
252.529577,30600001,0,0
253.34675,30700001,0,0
254.154265,30800001,0,0
254.977841,30900001,0,0
255.816021,31000001,0,0
256.632061,31100001,0,0
257.436326,31200001,0,0
258.258068,31300001,0,0
259.066823,31400001,0,0
259.888434,31500001,0,0
260.714715,31600001,0,0
261.550206,31700001,0,0
262.398734,31800001,0,0
263.22334,31900001,0,0
264.06382,32000001,0,0
264.896653,32100001,0,0
265.728436,32200001,0,0
266.555556,32300001,0,0
267.379086,32400001,0,0
268.214762,32500001,0,0
269.058891,32600001,0,0
269.880505,32700001,0,0
270.695663,32800001,0,0
271.502583,32900001,0,0
272.307872,33000001,0,0
273.141106,33100001,0,0
273.973006,33200001,0,0
274.808209,33300001,0,0
275.645843,33400001,0,0
276.47639,33500001,0,0
277.289003,33600001,0,0
278.094071,33700001,0,0
278.888146,33800001,0,0
279.709639,33900001,0,0
280.557097,34000001,0,0
281.399348,34100001,0,0
282.252087,34200001,0,0
283.098605,34300001,0,0
283.938043,34400001,0,0
284.792008,34500001,0,0
285.59851,34600001,0,0
286.396046,34700001,0,0
287.216414,34800001,0,0
288.047854,34900001,0,0
288.882533,35000001,0,0
289.714757,35100001,0,0
290.548015,35200001,0,0
291.369103,35300001,0,0
292.198881,35400001,0,0
293.013191,35500001,0,0
293.852792,35600001,0,0
294.695917,35700001,0,0
295.522578,35800001,0,0
296.35626,35900001,0,0
297.196622,36000001,0,0
298.04078,36100001,0,0
298.874376,36200001,0,0
299.316483,36253698,0,0
