Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.620196,100001,0,0
1.285154,200001,0,0
1.939677,300001,0,0
2.611337,400001,0,0
3.303111,500001,0,0
3.998221,600001,0,0
4.686622,700001,0,0
5.37092,800001,0,0
6.04453,900001,0,0
6.71233,1000001,0,0
7.378868,1100001,0,0
8.04792,1200001,0,0
8.735066,1300001,0,0
9.444527,1400001,0,0
10.160413,1500001,0,0
10.890338,1600001,0,0
11.638764,1700001,0,0
12.416927,1800001,0,0
13.168645,1900001,0,0
13.918284,2000001,0,0
14.682907,2100001,0,0
15.45663,2200001,0,0
16.176339,2300001,0,0
16.915712,2400001,0,0
17.670018,2500001,0,0
18.400208,2600001,0,0
19.119543,2700001,0,0
19.829534,2800001,0,0
20.526401,2900001,0,0
21.192386,3000001,0,0
21.865227,3100001,0,0
22.530159,3200001,0,0
23.217601,3300001,0,0
23.890037,3400001,0,0
24.578911,3500001,0,0
25.261778,3600001,0,0
25.930823,3700001,0,0
26.610649,3800001,0,0
27.278862,3900001,0,0
27.954514,4000001,0,0
28.650258,4100001,0,0
29.327526,4200001,0,0
29.996944,4300001,0,0
30.680292,4400001,0,0
31.367259,4500001,0,0
32.046367,4600001,0,0
32.734222,4700001,0,0
33.424854,4800001,0,0
34.118229,4900001,0,0
34.797534,5000001,0,0
35.46629,5100001,0,0
36.136532,5200001,0,0
36.810719,5300001,0,0
37.481686,5400001,0,0
38.147857,5500001,0,0
38.81576,5600001,0,0
39.4888,5700001,0,0
40.16844,5800001,0,0
40.834216,5900001,0,0
41.502105,6000001,0,0
42.171663,6100001,0,0
42.8458,6200001,0,0
43.521792,6300001,0,0
44.201978,6400001,0,0
44.879535,6500001,0,0
45.542766,6600001,0,0
46.222028,6700001,0,0
46.903495,6800001,0,0
47.580695,6900001,0,0
48.255762,7000001,0,0
48.929671,7100001,0,0
49.605219,7200001,0,0
50.275425,7300001,0,0
50.947592,7400001,0,0
51.61989,7500001,0,0
52.296354,7600001,0,0
52.960386,7700001,0,0
53.632802,7800001,0,0
54.295228,7900001,0,0
54.964637,8000001,0,0
55.625406,8100001,0,0
56.302683,8200001,0,0
56.973563,8300001,0,0
57.647979,8400001,0,0
58.320178,8500001,0,0
58.991205,8600001,0,0
59.663666,8700001,0,0
60.344935,8800001,0,0
61.024197,8900001,0,0
61.690821,9000001,0,0
62.366768,9100001,0,0
63.033876,9200001,0,0
63.704669,9300001,0,0
64.373911,9400001,0,0
65.055089,9500001,0,0
65.732715,9600001,0,0
66.404184,9700001,0,0
67.079078,9800001,0,0
67.75333,9900001,0,0
68.425781,10000001,0,0
69.101337,10100001,0,0
69.773729,10200001,0,0
70.443093,10300001,0,0
71.131216,10400001,0,0
71.807912,10500001,0,0
72.484719,10600001,0,0
73.161487,10700001,0,0
73.838224,10800001,0,0
74.516307,10900001,0,0
75.186834,11000001,0,0
75.859948,11100001,0,0
76.52675,11200001,0,0
77.200957,11300001,0,0
77.868834,11400001,0,0
78.534099,11500001,0,0
79.207708,11600001,0,0
79.877049,11700001,0,0
80.551298,11800001,0,0
81.221008,11900001,0,0
81.90624,12000001,0,0
82.580419,12100001,0,0
83.25063,12200001,0,0
83.927283,12300001,0,0
84.59168,12400001,0,0
85.260866,12500001,0,0
85.927356,12600001,0,0
86.604763,12700001,0,0
87.278079,12800001,0,0
87.955327,12900001,0,0
88.62582,13000001,0,0
89.294227,13100001,0,0
89.973768,13200001,0,0
90.650422,13300001,0,0
91.327427,13400001,0,0
91.995414,13500001,0,0
92.666889,13600001,0,0
93.333198,13700001,0,0
94.009199,13800001,0,0
94.686462,13900001,0,0
95.359536,14000001,0,0
96.036572,14100001,0,0
96.711722,14200001,0,0
97.391593,14300001,0,0
98.066092,14400001,0,0
98.747877,14500001,0,0
99.427318,14600001,0,0
100.103434,14700001,0,0
100.788245,14800001,0,0
101.459037,14900001,0,0
102.135794,15000001,0,0
102.809604,15100001,0,0
103.48326,15200001,0,0
104.154793,15300001,0,0
104.828176,15400001,0,0
105.505546,15500001,0,0
106.176712,15600001,0,0
106.846824,15700001,0,0
107.530017,15800001,0,0
108.20393,15900001,0,0
108.868446,16000001,0,0
109.548127,16100001,0,0
110.220519,16200001,0,0
110.898136,16300001,0,0
111.572349,16400001,0,0
112.241738,16500001,0,0
112.916032,16600001,0,0
113.582913,16700001,0,0
114.258219,16800001,0,0
114.929897,16900001,0,0
115.604354,17000001,0,0
116.278676,17100001,0,0
116.941746,17200001,0,0
117.612648,17300001,0,0
118.284202,17400001,0,0
118.957372,17500001,0,0
119.633967,17600001,0,0
120.305351,17700001,0,0
120.977822,17800001,0,0
121.656689,17900001,0,0
122.327388,18000001,0,0
123.004165,18100001,0,0
123.664671,18200001,0,0
124.33489,18300001,0,0
125.002265,18400001,0,0
125.677094,18500001,0,0
126.348123,18600001,0,0
127.025355,18700001,0,0
127.694769,18800001,0,0
128.370381,18900001,0,0
129.057236,19000001,0,0
129.734237,19100001,0,0
130.404619,19200001,0,0
131.078943,19300001,0,0
131.749175,19400001,0,0
132.422462,19500001,0,0
133.089962,19600001,0,0
133.761364,19700001,0,0
134.43826,19800001,0,0
135.106615,19900001,0,0
135.766727,20000001,0,0
136.433064,20100001,0,0
137.090297,20200001,0,0
137.760995,20300001,0,0
138.432764,20400001,0,0
139.099778,20500001,0,0
139.772655,20600001,0,0
140.452295,20700001,0,0
141.128924,20800001,0,0
141.803821,20900001,0,0
142.475426,21000001,0,0
143.146122,21100001,0,0
143.824724,21200001,0,0
144.500851,21300001,0,0
145.174968,21400001,0,0
145.850004,21500001,0,0
146.521142,21600001,0,0
147.199429,21700001,0,0
147.862846,21800001,0,0
148.536658,21900001,0,0
149.210661,22000001,0,0
149.885452,22100001,0,0
150.581866,22200001,0,0
151.268268,22300001,0,0
151.944345,22400001,0,0
152.645012,22500001,0,0
153.318613,22600001,0,0
153.985484,22700001,0,0
154.65361,22800001,0,0
155.328243,22900001,0,0
156.003247,23000001,0,0
156.673025,23100001,0,0
157.342138,23200001,0,0
158.019869,23300001,0,0
158.697352,23400001,0,0
159.371963,23500001,0,0
160.039708,23600001,0,0
160.698178,23700001,0,0
161.36723,23800001,0,0
162.035225,23900001,0,0
162.697586,24000001,0,0
163.368077,24100001,0,0
164.033903,24200001,0,0
164.697751,24300001,0,0
165.372094,24400001,0,0
166.037452,24500001,0,0
166.702472,24600001,0,0
167.368614,24700001,0,0
168.041913,24800001,0,0
168.709499,24900001,0,0
169.384168,25000001,0,0
170.052235,25100001,0,0
170.714353,25200001,0,0
171.373204,25300001,0,0
172.043359,25400001,0,0
172.715877,25500001,0,0
173.383159,25600001,0,0
174.050313,25700001,0,0
174.715268,25800001,0,0
175.389462,25900001,0,0
176.059236,26000001,0,0
176.727474,26100001,0,0
177.409499,26200001,0,0
178.083371,26300001,0,0
178.756456,26400001,0,0
179.424697,26500001,0,0
180.090492,26600001,0,0
180.75813,26700001,0,0
181.426606,26800001,0,0
182.101057,26900001,0,0
182.77536,27000001,0,0
183.440641,27100001,0,0
184.118924,27200001,0,0
184.794291,27300001,0,0
185.469344,27400001,0,0
186.146476,27500001,0,0
186.824291,27600001,0,0
187.498032,27700001,0,0
