Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.800219,100001,0,0
1.514842,200001,0,0
2.224119,300001,0,0
2.899779,400001,0,0
3.570561,500001,0,0
4.23575,600001,0,0
4.8841,700001,0,0
5.536189,800001,0,0
6.19242,900001,0,0
6.855699,1000001,0,0
7.503583,1100001,0,0
8.159392,1200001,0,0
8.816125,1300001,0,0
9.473123,1400001,0,0
10.1235,1500001,0,0
10.769212,1600001,0,0
11.421854,1700001,0,0
12.08784,1800001,0,0
12.752467,1900001,0,0
13.417869,2000001,0,0
14.066315,2100001,0,0
14.732641,2200001,0,0
15.389286,2300001,0,0
16.050019,2400001,0,0
16.696172,2500001,0,0
17.35313,2600001,0,0
18.004847,2700001,0,0
18.656478,2800001,0,0
19.323517,2900001,0,0
19.98156,3000001,0,0
20.648744,3100001,0,0
21.307228,3200001,0,0
21.96947,3300001,0,0
22.608987,3400001,0,0
23.260979,3500001,0,0
23.924357,3600001,0,0
24.581412,3700001,0,0
25.227554,3800001,0,0
25.869165,3900001,0,0
26.517431,4000001,0,0
27.178436,4100001,0,0
27.834253,4200001,0,0
28.486583,4300001,0,0
29.137273,4400001,0,0
29.796661,4500001,0,0
30.461546,4600001,0,0
31.130349,4700001,0,0
31.797473,4800001,0,0
32.465264,4900001,0,0
33.13337,5000001,0,0
33.800623,5100001,0,0
34.458842,5200001,0,0
35.105923,5300001,0,0
35.759409,5400001,0,0
36.419374,5500001,0,0
37.084372,5600001,0,0
37.731581,5700001,0,0
38.397443,5800001,0,0
39.046655,5900001,0,0
39.699005,6000001,0,0
40.358093,6100001,0,0
41.005316,6200001,0,0
41.655087,6300001,0,0
42.305269,6400001,0,0
42.956587,6500001,0,0
43.625567,6600001,0,0
44.273783,6700001,0,0
44.924542,6800001,0,0
45.58171,6900001,0,0
46.224989,7000001,0,0
46.868548,7100001,0,0
47.509979,7200001,0,0
48.154939,7300001,0,0
48.798594,7400001,0,0
49.463968,7500001,0,0
50.115014,7600001,0,0
50.763793,7700001,0,0
51.414381,7800001,0,0
52.065567,7900001,0,0
52.707285,8000001,0,0
53.349775,8100001,0,0
53.993742,8200001,0,0
54.640253,8300001,0,0
55.306979,8400001,0,0
55.954151,8500001,0,0
56.612425,8600001,0,0
57.280296,8700001,0,0
57.933578,8800001,0,0
58.578921,8900001,0,0
59.247177,9000001,0,0
59.89357,9100001,0,0
60.540785,9200001,0,0
61.183635,9300001,0,0
61.837878,9400001,0,0
62.49803,9500001,0,0
63.14322,9600001,0,0
63.792049,9700001,0,0
64.434888,9800001,0,0
65.087991,9900001,0,0
65.737509,10000001,0,0
66.399467,10100001,0,0
67.051886,10200001,0,0
67.714594,10300001,0,0
68.367328,10400001,0,0
69.034384,10500001,0,0
69.700023,10600001,0,0
70.360492,10700001,0,0
71.026683,10800001,0,0
71.692229,10900001,0,0
72.358604,11000001,0,0
73.008191,11100001,0,0
73.654398,11200001,0,0
74.30024,11300001,0,0
74.943485,11400001,0,0
75.584528,11500001,0,0
76.237454,11600001,0,0
76.905694,11700001,0,0
77.551102,11800001,0,0
78.195821,11900001,0,0
78.836875,12000001,0,0
79.484628,12100001,0,0
80.135977,12200001,0,0
80.776413,12300001,0,0
81.420835,12400001,0,0
82.07064,12500001,0,0
82.737955,12600001,0,0
83.391815,12700001,0,0
84.044184,12800001,0,0
84.707988,12900001,0,0
85.35969,13000001,0,0
86.011137,13100001,0,0
