Timestamp,Packets [total],Losses [Total],Losses [Difference]
1.112856,100001,0,0
2.196292,200001,0,0
3.328864,300001,0,0
4.496456,400001,0,0
5.674784,500001,0,0
6.862551,600001,0,0
7.948528,700001,0,0
9.034234,800001,0,0
10.11968,900001,0,0
11.201914,1000001,0,0
12.282468,1100001,0,0
13.359664,1200001,0,0
14.431996,1300001,0,0
15.508154,1400001,0,0
16.5834,1500001,0,0
17.650155,1600001,0,0
18.721693,1700001,0,0
19.793141,1800001,0,0
20.874329,1900001,0,0
21.960449,2000001,0,0
23.045136,2100001,0,0
24.13613,2200001,0,0
25.21102,2300001,0,0
26.289246,2400001,0,0
27.361816,2500001,0,0
28.431263,2600001,0,0
29.509021,2700001,0,0
30.585163,2800001,0,0
31.66185,2900001,0,0
32.731189,3000001,0,0
33.806458,3100001,0,0
34.885204,3200001,0,0
35.963415,3300001,0,0
37.030332,3400001,0,0
38.110242,3500001,0,0
39.184604,3600001,0,0
40.265157,3700001,0,0
41.340454,3800001,0,0
42.408083,3900001,0,0
43.482957,4000001,0,0
44.556412,4100001,0,0
45.633367,4200001,0,0
46.715463,4300001,0,0
47.799242,4400001,0,0
48.874109,4500001,0,0
49.956738,4600001,0,0
51.046194,4700001,0,0
52.135002,4800001,0,0
53.219809,4900001,0,0
54.306034,5000001,0,0
55.385361,5100001,0,0
56.457869,5200001,0,0
57.533522,5300001,0,0
58.611111,5400001,0,0
59.685742,5500001,0,0
60.763834,5600001,0,0
61.837192,5700001,0,0
62.911641,5800001,0,0
63.990013,5900001,0,0
65.068511,6000001,0,0
66.135908,6100001,0,0
67.209365,6200001,0,0
68.282716,6300001,0,0
69.356806,6400001,0,0
70.430375,6500001,0,0
71.509686,6600001,0,0
72.587286,6700001,0,0
73.667338,6800001,0,0
74.744807,6900001,0,0
75.823182,7000001,0,0
76.893293,7100001,0,0
77.967279,7200001,0,0
79.052601,7300001,0,0
80.131473,7400001,0,0
81.21155,7500001,0,0
82.292125,7600001,0,0
83.371239,7700001,0,0
84.448072,7800001,0,0
85.526665,7900001,0,0
86.6107,8000001,0,0
87.693201,8100001,0,0
88.766779,8200001,0,0
89.84696,8300001,0,0
90.918732,8400001,0,0
92.004056,8500001,0,0
93.079194,8600001,0,0
94.153648,8700001,0,0
95.229666,8800001,0,0
96.302322,8900001,0,0
97.380942,9000001,0,0
98.448854,9100001,0,0
99.529196,9200001,0,0
100.607594,9300001,0,0
101.686363,9400001,0,0
102.765883,9500001,0,0
103.838055,9600001,0,0
104.917831,9700001,0,0
105.989138,9800001,0,0
107.072267,9900001,0,0
108.15928,10000001,0,0
109.247566,10100001,0,0
110.333799,10200001,0,0
111.429202,10300001,0,0
112.514533,10400001,0,0
113.596376,10500001,0,0
114.671247,10600001,0,0
115.74757,10700001,0,0
116.82376,10800001,0,0
117.897716,10900001,0,0
118.964596,11000001,0,0
120.045694,11100001,0,0
121.12099,11200001,0,0
122.198023,11300001,0,0
123.273548,11400001,0,0
124.349274,11500001,0,0
125.420816,11600001,0,0
126.497643,11700001,0,0
127.575626,11800001,0,0
128.652175,11900001,0,0
129.726281,12000001,0,0
130.803599,12100001,0,0
131.869709,12200001,0,0
132.932987,12300001,0,0
134.005397,12400001,0,0
135.075363,12500001,0,0
136.160153,12600001,0,0
137.238668,12700001,0,0
138.324772,12800001,0,0
139.411137,12900001,0,0
140.499682,13000001,0,0
141.580776,13100001,0,0
142.653052,13200001,0,0
143.726636,13300001,0,0
144.80378,13400001,0,0
145.887245,13500001,0,0
146.957741,13600001,0,0
148.035707,13700001,0,0
149.108922,13800001,0,0
150.18317,13900001,0,0
151.270591,14000001,0,0
152.344917,14100001,0,0
153.424566,14200001,0,0
154.501661,14300001,0,0
155.581432,14400001,0,0
156.656054,14500001,0,0
157.730158,14600001,0,0
158.803609,14700001,0,0
159.878373,14800001,0,0
160.951227,14900001,0,0
162.023887,15000001,0,0
163.097224,15100001,0,0
164.175938,15200001,0,0
165.262549,15300001,0,0
166.350377,15400001,0,0
167.431321,15500001,0,0
168.519996,15600001,0,0
169.594909,15700001,0,0
170.674404,15800001,0,0
171.755204,15900001,0,0
172.836788,16000001,0,0
173.915023,16100001,0,0
174.996234,16200001,0,0
176.075475,16300001,0,0
177.153851,16400001,0,0
178.238287,16500001,0,0
179.316623,16600001,0,0
180.398373,16700001,0,0
181.479702,16800001,0,0
182.551525,16900001,0,0
183.63177,17000001,0,0
184.705487,17100001,0,0
185.786339,17200001,0,0
186.863892,17300001,0,0
187.950503,17400001,0,0
189.02709,17500001,0,0
190.107136,17600001,0,0
