Timestamp,Packets [total],Losses [Total],Losses [Difference]
1.058665,100001,0,0
2.158187,200001,0,0
3.281413,300001,0,0
4.421537,400001,0,0
5.614253,500001,0,0
6.804471,600001,0,0
8.011388,700001,0,0
9.227721,800001,0,0
10.447706,900001,0,0
11.660873,1000001,0,0
12.879657,1100001,60,60
14.112272,1200001,60,0
15.348627,1300001,60,0
16.587602,1400001,60,0
17.835465,1500001,60,0
19.084121,1600001,60,0
20.314533,1700001,60,0
21.559496,1800001,60,0
22.798069,1900001,60,0
24.039803,2000001,60,0
25.277586,2100001,60,0
26.51835,2200001,60,0
27.76316,2300001,60,0
28.982009,2400001,60,0
30.196512,2500001,60,0
31.43213,2600001,60,0
32.664332,2700001,60,0
33.912014,2800001,60,0
35.152482,2900001,60,0
36.368772,3000001,60,0
37.600312,3100001,60,0
38.830741,3200001,60,0
40.063285,3300001,60,0
41.29783,3400001,60,0
42.535462,3500001,60,0
43.752629,3600001,60,0
44.986662,3700001,60,0
46.213147,3800001,60,0
47.430154,3900001,60,0
48.656547,4000001,60,0
49.866451,4100001,60,0
51.085948,4200001,60,0
52.313782,4300001,60,0
53.553909,4400001,60,0
54.799412,4500001,60,0
56.064431,4600001,60,0
57.338548,4700001,60,0
58.622672,4800001,60,0
59.911525,4900001,60,0
61.19987,5000001,60,0
62.489054,5100001,60,0
63.81372,5200001,60,0
65.144546,5300001,60,0
66.487187,5400001,60,0
67.831888,5500001,60,0
69.179693,5600001,60,0
70.529249,5700001,60,0
71.877229,5800001,60,0
73.230604,5900001,90,30
74.579505,6000001,90,0
75.917778,6100001,90,0
77.261408,6200001,90,0
78.607533,6300001,90,0
79.946654,6400001,90,0
81.293778,6500001,90,0
82.648026,6600001,90,0
84.010777,6700001,90,0
85.376772,6800001,90,0
86.74532,6900001,90,0
88.106682,7000001,90,0
89.480197,7100001,90,0
90.859695,7200001,90,0
92.231735,7300001,90,0
93.526087,7400001,90,0
94.807756,7500001,90,0
96.093941,7600001,90,0
97.380051,7700001,90,0
98.662001,7800001,90,0
99.948955,7900001,90,0
101.238836,8000001,90,0
102.533137,8100001,90,0
103.827024,8200001,90,0
105.126997,8300001,90,0
106.420082,8400001,90,0
107.729817,8500001,90,0
109.030902,8600001,90,0
110.336633,8700001,90,0
111.639209,8800001,90,0
112.948577,8900001,90,0
114.254353,9000001,90,0
115.574646,9100001,90,0
116.910055,9200001,90,0
118.247951,9300001,90,0
119.584996,9400001,90,0
119.905279,9424385,90,0
