Timestamp,Packets [total],Losses [Total],Losses [Difference]
6.184182,100001,0,0
12.254495,200001,0,0
18.365004,300001,0,0
24.545443,400001,0,0
30.869134,500001,0,0
37.196525,600001,0,0
43.520798,700001,0,0
49.843661,800001,0,0
56.15363,900001,0,0
62.205656,1000001,0,0
68.532787,1100001,0,0
74.859264,1200001,0,0
81.183416,1300001,0,0
87.493861,1400001,0,0
93.803688,1500001,0,0
100.130102,1600001,0,0
106.453687,1700001,0,0
112.661232,1800001,0,0
118.975626,1900001,0,0
125.296935,2000001,0,0
131.614919,2100001,0,0
137.933252,2200001,0,0
144.253358,2300001,0,0
150.570553,2400001,0,0
156.872135,2500001,0,0
163.170502,2600001,0,0
169.495081,2700001,0,0
175.580158,2800001,0,0
181.62936,2900001,0,0
187.979955,3000001,0,0
194.3063,3100001,0,0
200.620227,3200001,0,0
206.917561,3300001,0,0
213.244085,3400001,0,0
219.52143,3500001,0,0
225.839531,3600001,0,0
232.156973,3700001,0,0
238.477566,3800001,0,0
244.743879,3900001,0,0
250.838199,4000001,0,0
256.908808,4100001,0,0
263.001774,4200001,0,0
269.177731,4300001,0,0
275.504689,4400001,1,1
281.850872,4500001,2,1
288.200812,4600001,2,0
294.531462,4700001,4,2
299.973633,4786164,4,0
