Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.904253,100001,0,0
12.021379,200001,0,0
17.992745,300001,0,0
23.656832,400001,0,0
29.570657,500001,0,0
35.359552,600001,0,0
41.206358,700001,0,0
47.08129,800001,0,0
52.85013,900001,0,0
58.434116,1000001,0,0
64.32143,1100001,0,0
70.28286,1200001,0,0
76.218171,1300001,0,0
82.123142,1400001,0,0
88.027442,1500001,0,0
93.903407,1600001,0,0
99.896782,1700001,0,0
105.601531,1800001,0,0
111.6661,1900001,0,0
117.770811,2000001,0,0
123.660866,2100001,0,0
129.608453,2200001,0,0
135.587737,2300001,0,0
141.56303,2400001,0,0
147.440546,2500001,0,0
153.428962,2600001,0,0
159.340061,2700001,0,0
165.164164,2800001,0,0
171.111932,2900001,0,0
177.094676,3000001,0,0
183.012197,3100001,0,0
189.057459,3200001,0,0
195.067475,3300001,0,0
201.219723,3400001,0,0
207.208929,3500001,0,0
213.148113,3600001,0,0
219.170423,3700001,0,0
225.067355,3800001,0,0
231.085963,3900001,0,0
237.152535,4000001,0,0
243.219873,4100001,0,0
249.230296,4200001,0,0
255.270701,4300001,0,0
261.20123,4400001,0,0
267.189098,4500001,0,0
273.227631,4600001,0,0
279.190685,4700001,0,0
284.99215,4800001,0,0
290.990318,4900001,0,0
296.640805,5000001,0,0
299.975506,5059208,0,0
