Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.64827,100001,0,0
1.24816,200001,0,0
1.844461,300001,0,0
2.437686,400001,0,0
3.043913,500001,0,0
3.683937,600001,0,0
4.341026,700001,0,0
5.00024,800001,0,0
5.685313,900001,0,0
6.375917,1000001,0,0
7.085868,1100001,0,0
7.807944,1200001,0,0
8.513105,1300001,0,0
9.226177,1400001,0,0
9.956773,1500001,0,0
10.680257,1600001,0,0
11.405517,1700001,0,0
12.128566,1800001,0,0
12.846997,1900001,0,0
13.580491,2000001,0,0
14.327951,2100001,0,0
15.05285,2200001,0,0
15.788029,2300001,0,0
16.524984,2400001,0,0
17.292551,2500001,0,0
18.047065,2600001,0,0
18.783876,2700001,0,0
19.519836,2800001,0,0
20.237555,2900001,0,0
20.945199,3000001,0,0
21.648976,3100001,0,0
22.329313,3200001,0,0
23.003977,3300001,0,0
23.683239,3400001,0,0
24.362774,3500001,0,0
25.049155,3600001,0,0
25.731388,3700001,0,0
26.407316,3800001,0,0
27.085041,3900001,0,0
27.755114,4000001,0,0
28.431822,4100001,0,0
29.120807,4200001,0,0
29.810363,4300001,0,0
30.494099,4400001,0,0
31.173293,4500001,0,0
31.844745,4600001,0,0
32.517831,4700001,0,0
33.188597,4800001,0,0
33.863229,4900001,0,0
34.553703,5000001,0,0
35.242124,5100001,0,0
35.922683,5200001,0,0
36.594738,5300001,0,0
37.268272,5400001,0,0
37.946367,5500001,0,0
38.627222,5600001,0,0
39.302524,5700001,0,0
39.978951,5800001,0,0
40.646218,5900001,0,0
41.318815,6000001,0,0
41.994204,6100001,0,0
42.677288,6200001,0,0
43.35038,6300001,0,0
44.031224,6400001,0,0
44.717103,6500001,0,0
45.393951,6600001,0,0
46.065332,6700001,0,0
46.751755,6800001,0,0
47.431436,6900001,0,0
48.11095,7000001,0,0
48.798533,7100001,0,0
49.473327,7200001,0,0
50.151857,7300001,0,0
50.834284,7400001,0,0
51.506884,7500001,0,0
52.178065,7600001,0,0
52.840867,7700001,0,0
53.516974,7800001,0,0
54.186665,7900001,0,0
54.87019,8000001,0,0
55.538732,8100001,0,0
56.214219,8200001,0,0
56.892366,8300001,0,0
57.567124,8400001,0,0
58.235354,8500001,0,0
58.904342,8600001,0,0
59.570641,8700001,0,0
60.24709,8800001,0,0
60.914132,8900001,0,0
61.585612,9000001,0,0
62.253227,9100001,0,0
