Timestamp,Packets [total],Losses [Total],Losses [Difference]
8.893225,1000001,0,0
18.526892,2000001,0,0
28.197155,3000001,0,0
37.752812,4000001,0,0
47.221222,5000001,0,0
56.755853,6000001,0,0
66.242521,7000001,0,0
75.753942,8000001,0,0
85.292396,9000001,0,0
94.740309,10000001,0,0
104.214802,11000001,0,0
113.719784,12000001,0,0
123.252193,13000001,0,0
132.805879,14000001,0,0
142.339276,15000001,0,0
151.851278,16000001,0,0
161.395476,17000001,0,0
170.895464,18000001,0,0
180.381056,19000001,0,0
189.911535,20000001,0,0
199.48901,21000001,0,0
209.039072,22000001,0,0
218.546442,23000001,0,0
228.064503,24000001,0,0
237.587861,25000001,0,0
247.153294,26000001,0,0
256.664377,27000001,0,0
266.149659,28000001,0,0
275.626751,29000001,0,0
285.126767,30000001,0,0
294.624569,31000001,0,0
304.111979,32000001,0,0
313.563388,33000001,0,0
323.032648,34000001,0,0
332.51477,35000001,0,0
342.011848,36000001,0,0
351.476492,37000001,0,0
359.657004,37866606,0,0
