Timestamp,Packets [total],Losses [Total],Losses [Difference]
12.390574,1000001,0,0
24.932833,2000001,0,0
37.645958,3000001,0,0
51.002686,4000001,0,0
64.310146,5000001,0,0
77.603128,6000001,0,0
90.876245,7000001,0,0
104.207894,8000001,0,0
117.553196,9000001,0,0
130.904082,10000001,0,0
144.2513,11000001,0,0
157.580988,12000001,0,0
170.976095,13000001,0,0
184.323657,14000001,0,0
197.613688,15000001,0,0
210.944814,16000001,0,0
224.290009,17000001,0,0
237.603299,18000001,0,0
250.823119,19000001,0,0
264.127745,20000001,0,0
277.405361,21000001,0,0
290.689942,22000001,0,0
303.985901,23000001,0,0
317.308311,24000001,0,0
330.66604,25000001,0,0
343.921796,26000001,0,0
357.218747,27000001,0,0
359.598379,27177008,0,0
