Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.238165,100001,0,0
10.476014,200001,0,0
15.713805,300001,0,0
20.951664,400001,0,0
26.191158,500001,0,0
31.428964,600001,0,0
36.666828,700001,0,0
41.904709,800001,0,0
47.142616,900001,0,0
52.380433,1000001,0,0
57.618272,1100001,0,0
62.856128,1200001,0,0
68.093924,1300001,0,0
73.331769,1400001,0,0
78.569664,1500001,0,0
83.809009,1600001,0,0
89.046804,1700001,0,0
94.284758,1800001,0,0
99.52267,1900001,0,0
104.760489,2000001,0,0
109.998326,2100001,0,0
115.236128,2200001,0,0
120.474043,2300001,0,0
125.711887,2400001,0,0
130.949689,2500001,0,0
136.187482,2600001,0,0
141.425333,2700001,0,0
146.664725,2800001,0,0
151.902583,2900001,0,0
157.14053,3000001,0,0
162.378471,3100001,0,0
167.616382,3200001,0,0
172.854218,3300001,0,0
178.092125,3400001,0,0
183.330001,3500001,0,0
188.567824,3600001,0,0
193.80571,3700001,0,0
199.043509,3800001,0,0
204.282876,3900001,0,0
209.520735,4000001,0,0
214.758574,4100001,0,0
219.996423,4200001,0,0
225.234275,4300001,0,0
230.472134,4400001,0,0
235.710023,4500001,0,0
240.947833,4600001,0,0
246.1857,4700001,0,0
251.423539,4800001,0,0
256.661476,4900001,0,0
261.899384,5000001,0,0
267.138833,5100001,0,0
272.376701,5200001,0,0
277.614512,5300001,0,0
282.852308,5400001,0,0
288.090144,5500001,0,0
293.327993,5600001,0,0
298.565824,5700001,0,0
303.803692,5800001,0,0
309.041627,5900001,0,0
314.279502,6000001,0,0
319.517335,6100001,0,0
324.756738,6200001,0,0
329.994535,6300001,0,0
335.232343,6400001,0,0
340.470186,6500001,0,0
345.708106,6600001,0,0
350.9459,6700001,0,0
356.183692,6800001,0,0
361.421553,6900001,0,0
366.659496,7000001,0,0
371.897345,7100001,0,0
377.135195,7200001,0,0
382.373001,7300001,0,0
387.612415,7400001,0,0
392.850269,7500001,0,0
398.088093,7600001,0,0
403.326003,7700001,0,0
408.563845,7800001,0,0
413.80172,7900001,0,0
419.039559,8000001,0,0
424.277414,8100001,0,0
429.515229,8200001,0,0
434.753068,8300001,0,0
439.990868,8400001,0,0
445.230202,8500001,0,0
450.468041,8600001,0,0
455.705922,8700001,0,0
460.943728,8800001,0,0
466.181535,8900001,0,0
471.419383,9000001,0,0
476.657246,9100001,0,0
481.895115,9200001,0,0
487.132984,9300001,0,0
492.370834,9400001,0,0
497.608698,9500001,0,0
502.846634,9600001,0,0
508.085982,9700001,0,0
513.323865,9800001,0,0
518.561707,9900001,0,0
523.799638,10000001,0,0
529.037507,10100001,0,0
534.27543,10200001,0,0
539.513313,10300001,0,0
544.751326,10400001,0,0
549.989119,10500001,0,0
555.226943,10600001,0,0
560.464837,10700001,0,0
565.70425,10800001,0,0
570.942115,10900001,0,0
576.179932,11000001,0,0
581.417877,11100001,0,0
586.655762,11200001,0,0
591.893633,11300001,0,0
597.131504,11400001,0,0
602.369363,11500001,0,0
607.607261,11600001,0,0
612.845106,11700001,0,0
618.082971,11800001,0,0
623.322361,11900001,0,0
628.560269,12000001,0,0
633.798201,12100001,0,0
639.036035,12200001,0,0
644.273845,12300001,0,0
649.511699,12400001,0,0
654.749563,12500001,0,0
659.987387,12600001,0,0
665.225334,12700001,0,0
670.463181,12800001,0,0
675.701042,12900001,0,0
680.938985,13000001,0,0
686.178325,13100001,0,0
691.416145,13200001,0,0
696.654,13300001,0,0
701.891808,13400001,0,0
707.129637,13500001,0,0
712.367457,13600001,0,0
717.605307,13700001,0,0
722.843134,13800001,0,0
728.080973,13900001,0,0
733.318919,14000001,0,0
738.556905,14100001,0,0
743.796202,14200001,0,0
749.034036,14300001,0,0
754.271879,14400001,0,0
759.509718,14500001,0,0
764.747542,14600001,0,0
769.985413,14700001,0,0
775.223294,14800001,0,0
780.461122,14900001,0,0
785.698971,15000001,0,0
790.936826,15100001,0,0
796.174679,15200001,0,0
801.412545,15300001,0,0
806.651915,15400001,0,0
811.889873,15500001,0,0
817.12768,15600001,0,0
822.365517,15700001,0,0
827.60338,15800001,0,0
832.841341,15900001,0,0
838.079224,16000001,0,0
843.317031,16100001,0,0
848.554943,16200001,0,0
853.79291,16300001,0,0
859.030726,16400001,0,0
864.270134,16500001,0,0
869.508048,16600001,0,0
874.745884,16700001,0,0
879.983772,16800001,0,0
885.221593,16900001,0,0
890.459441,17000001,0,0
895.69737,17100001,0,0
900.935171,17200001,0,0
906.173091,17300001,0,0
911.410975,17400001,0,0
916.648808,17500001,0,0
921.88669,17600001,0,0
927.126237,17700001,0,0
932.364094,17800001,0,0
937.601895,17900001,0,0
942.839742,18000001,0,0
948.077618,18100001,0,0
953.315567,18200001,0,0
958.55347,18300001,0,0
963.791334,18400001,0,0
969.029166,18500001,0,0
974.267036,18600001,0,0
979.504945,18700001,0,0
984.744401,18800001,0,0
989.982182,18900001,0,0
995.220009,19000001,0,0
1000.457904,19100001,0,0
1005.695742,19200001,0,0
1010.933608,19300001,0,0
1016.171468,19400001,0,0
1021.409367,19500001,0,0
1026.647213,19600001,0,0
1031.885013,19700001,0,0
1037.12287,19800001,0,0
1042.360697,19900001,0,0
1047.600031,20000001,0,0
1052.837893,20100001,0,0
1058.075789,20200001,0,0
1063.313613,20300001,0,0
1068.551602,20400001,0,0
1073.789467,20500001,0,0
1079.027285,20600001,0,0
1084.265118,20700001,0,0
1089.502992,20800001,0,0
1094.740813,20900001,0,0
1099.978671,21000001,0,0
1105.217981,21100001,0,0
1110.455794,21200001,0,0
1115.693665,21300001,0,0
1120.93149,21400001,0,0
1126.169328,21500001,0,0
1131.407154,21600001,0,0
1136.645054,21700001,0,0
1141.882948,21800001,0,0
1147.12083,21900001,0,0
1152.358736,22000001,0,0
1157.596565,22100001,0,0
1162.834473,22200001,0,0
1168.073795,22300001,0,0
1173.311669,22400001,0,0
1178.549528,22500001,0,0
1183.787447,22600001,0,0
1189.025334,22700001,0,0
1194.263157,22800001,0,0
1199.500947,22900001,0,0
1204.73876,23000001,0,0
1209.976708,23100001,0,0
1215.214557,23200001,0,0
1220.452467,23300001,0,0
1225.691903,23400001,0,0
1230.929754,23500001,0,0
1236.167598,23600001,0,0
1241.405425,23700001,0,0
1246.643276,23800001,0,0
1251.881159,23900001,0,0
1257.119033,24000001,0,0
1262.356883,24100001,0,0
1267.594718,24200001,0,0
1272.832668,24300001,0,0
1278.070584,24400001,0,0
1283.309916,24500001,0,0
1288.547786,24600001,0,0
1293.785668,24700001,0,0
1299.023527,24800001,0,0
1304.261319,24900001,0,0
1309.499248,25000001,0,0
1314.737154,25100001,0,0
1319.974985,25200001,0,0
1325.212855,25300001,0,0
1330.450669,25400001,0,0
1335.688578,25500001,0,0
1340.926458,25600001,0,0
1346.16581,25700001,0,0
1351.403672,25800001,0,0
1356.641591,25900001,0,0
1361.879488,26000001,0,0
1367.117311,26100001,0,0
1372.355139,26200001,0,0
1377.592971,26300001,0,0
1382.830823,26400001,0,0
1388.068652,26500001,0,0
1393.306583,26600001,0,0
1398.544514,26700001,0,0
1403.783911,26800001,0,0
1409.021767,26900001,0,0
1414.25963,27000001,0,0
1419.497544,27100001,0,0
1424.735411,27200001,0,0
1429.973255,27300001,0,0
1435.2111,27400001,0,0
1440.449003,27500001,0,0
1445.686818,27600001,0,0
1450.924624,27700001,0,0
1456.162481,27800001,0,0
1461.400392,27900001,0,0
1466.639684,28000001,0,0
1471.877561,28100001,0,0
1477.115432,28200001,0,0
1482.353302,28300001,0,0
1487.591248,28400001,0,0
1492.829157,28500001,0,0
1498.067009,28600001,0,0
1503.304849,28700001,0,0
1508.542715,28800001,0,0
1513.780584,28900001,0,0
1519.018381,29000001,0,0
1524.25779,29100001,0,0
1529.495675,29200001,0,0
1534.733483,29300001,0,0
1539.97131,29400001,0,0
1545.20912,29500001,0,0
1550.446932,29600001,0,0
1555.684871,29700001,0,0
1560.922818,29800001,0,0
1566.160752,29900001,0,0
1571.398626,30000001,0,0
1576.636457,30100001,0,0
1581.874313,30200001,0,0
1587.11371,30300001,0,0
1592.351571,30400001,0,0
1597.589438,30500001,0,0
1602.827232,30600001,0,0
1608.06505,30700001,0,0
1613.302837,30800001,0,0
1618.54073,30900001,0,0
1623.778568,31000001,0,0
1629.016408,31100001,0,0
1634.254288,31200001,0,0
1639.492206,31300001,0,0
1644.731609,31400001,0,0
1649.969501,31500001,0,0
1655.207405,31600001,0,0
1660.445261,31700001,0,0
1665.683132,31800001,0,0
1670.921034,31900001,0,0
1676.158949,32000001,0,0
1681.396818,32100001,0,0
1686.634672,32200001,0,0
1691.872533,32300001,0,0
1697.110368,32400001,0,0
1702.348196,32500001,0,0
1707.587567,32600001,0,0
1712.825438,32700001,0,0
1718.063283,32800001,0,0
1723.301272,32900001,0,0
1728.539089,33000001,0,0
1733.776941,33100001,0,0
1739.014748,33200001,0,0
1744.252605,33300001,0,0
1749.490443,33400001,0,0
1754.728301,33500001,0,0
1759.966182,33600001,0,0
1765.205533,33700001,0,0
1770.443426,33800001,0,0
1775.681248,33900001,0,0
1780.919114,34000001,0,0
1786.156935,34100001,0,0
1791.394752,34200001,0,0
1796.632604,34300001,0,0
1801.870439,34400001,0,0
1807.108314,34500001,0,0
1812.346116,34600001,0,0
1817.583959,34700001,0,0
1822.821762,34800001,0,0
1828.061166,34900001,0,0
1833.29907,35000001,0,0
1838.536973,35100001,0,0
1843.774789,35200001,0,0
1849.012601,35300001,0,0
1854.250479,35400001,0,0
1859.4883,35500001,0,0
1864.726166,35600001,0,0
1869.964015,35700001,0,0
1875.201874,35800001,0,0
1880.439741,35900001,0,0
1885.679196,36000001,0,0
1890.917102,36100001,0,0
1896.154973,36200001,0,0
1901.392854,36300001,0,0
1906.630673,36400001,0,0
1911.868528,36500001,0,0
1917.106343,36600001,0,0
