Timestamp,Packets [total],Losses [Total],Losses [Difference]
6.001207,100000,0,0
12.002833,200000,0,0
18.003915,300000,0,0
24.006235,400000,0,0
30.007017,500000,0,0
36.008632,600000,0,0
42.009711,700000,0,0
48.010997,800000,0,0
54.011902,900000,0,0
60.012792,1000000,0,0
66.013947,1100000,0,0
72.014698,1200000,0,0
78.016107,1300000,0,0
84.017276,1400000,0,0
90.017643,1500000,0,0
96.018436,1600000,0,0
102.019888,1700000,0,0
108.020659,1800000,0,0
114.021933,1900000,0,0
120.022587,2000000,0,0
126.023164,2100000,0,0
132.024106,2200000,0,0
138.025775,2300000,0,0
144.026919,2400000,0,0
150.027488,2500000,0,0
156.028749,2600000,0,0
162.02984,2700000,0,0
168.030302,2800000,0,0
174.031438,2900000,0,0
180.032809,3000000,0,0
186.033983,3100000,0,0
192.034966,3200000,0,0
198.03564,3300000,0,0
204.037022,3400000,0,0
210.037831,3500000,0,0
216.038408,3600000,0,0
222.039432,3700000,0,0
228.040554,3800000,0,0
234.041065,3900000,0,0
240.042568,4000000,0,0
246.043254,4100000,0,0
252.044046,4200000,0,0
258.044949,4300000,0,0
264.045678,4400000,0,0
270.046197,4500000,0,0
276.046916,4600000,0,0
282.047221,4700000,0,0
288.048011,4800000,0,0
294.049186,4900000,0,0
300.049875,5000000,0,0
306.050078,5100000,0,0
312.051399,5200000,0,0
318.052515,5300000,0,0
324.053927,5400000,0,0
330.054741,5500000,0,0
336.055886,5600000,0,0
342.056313,5700000,0,0
348.057525,5800000,0,0
354.058299,5900000,0,0
360.059242,6000000,0,0
366.060492,6100000,0,0
372.06062,6200000,0,0
378.061577,6300000,0,0
384.063074,6400000,0,0
390.063476,6500000,0,0
396.065284,6600000,0,0
402.065999,6700000,0,0
408.066621,6800000,0,0
414.067311,6900000,0,0
420.068518,7000000,0,0
426.069705,7100000,0,0
432.070856,7200000,0,0
438.071582,7300000,0,0
444.071901,7400000,0,0
450.073808,7500000,0,0
456.075368,7600000,0,0
462.076519,7700000,0,0
468.077114,7800000,0,0
474.07865,7900000,0,0
480.079512,8000000,0,0
486.080944,8100000,0,0
492.081326,8200000,0,0
498.082382,8300000,0,0
504.083373,8400000,0,0
510.084268,8500000,0,0
516.085424,8600000,0,0
522.086643,8700000,0,0
528.087056,8800000,0,0
534.088312,8900000,0,0
540.089439,9000000,0,0
546.089982,9100000,0,0
552.090913,9200000,0,0
558.09155,9300000,0,0
564.091908,9400000,0,0
570.093174,9500000,0,0
576.093725,9600000,0,0
582.094188,9700000,0,0
588.095758,9800000,0,0
594.097405,9900000,0,0
600.0987,10000000,0,0
606.099107,10100000,0,0
612.100284,10200000,0,0
618.101443,10300000,0,0
624.102299,10400000,0,0
630.102665,10500000,0,0
636.104093,10600000,0,0
642.104818,10700000,0,0
648.105376,10800000,0,0
654.106423,10900000,0,0
660.108002,11000000,0,0
666.109625,11100000,0,0
672.110716,11200000,0,0
678.111554,11300000,0,0
684.111938,11400000,0,0
690.112775,11500000,0,0
696.114477,11600000,0,0
702.115395,11700000,0,0
708.116275,11800000,0,0
714.118337,11900000,0,0
720.119721,12000000,0,0
726.120595,12100000,0,0
732.121915,12200000,0,0
738.122953,12300000,0,0
744.123386,12400000,0,0
750.12397,12500000,0,0
756.125088,12600000,0,0
762.125446,12700000,0,0
768.126269,12800000,0,0
774.12792,12900000,0,0
780.128396,13000000,0,0
786.130151,13100000,0,0
792.130999,13200000,0,0
798.132101,13300000,0,0
804.132734,13400000,0,0
810.133257,13500000,0,0
816.133833,13600000,0,0
822.134862,13700000,0,0
828.13532,13800000,0,0
834.135992,13900000,0,0
840.137104,14000000,0,0
846.137748,14100000,0,0
852.138719,14200000,0,0
