Timestamp,Packets [total],Losses [Total],Losses [Difference]
22.000813,100000,65842,65842
44.001038,200000,112883,47041
66.000805,300000,187477,74594
88.000581,400000,247741,60264
110.000408,500000,315808,68067
132.000197,600000,362422,46614
153.999956,700000,444186,81764
175.999734,800000,518386,74200
197.999486,900000,586292,67906
219.999343,1000000,653494,67202
241.99912,1100000,696093,42599
263.998853,1200000,755874,59781
285.998635,1300000,794682,38808
307.998432,1400000,843084,48402
329.998178,1500000,932017,88933
351.998012,1600000,977072,45055
373.997721,1700000,1036886,59814
395.997519,1800000,1104300,67414
417.99731,1900000,1166869,62569
439.997081,2000000,1219256,52387
461.996929,2100000,1277944,58688
483.996674,2200000,1297121,19177
505.996422,2300000,1374756,77635
527.996192,2400000,1409171,34415
549.995963,2500000,1478725,69554
571.995795,2600000,1536971,58246
593.995563,2700000,1607705,70734
615.995406,2800000,1643569,35864
637.995087,2900000,1702218,58649
659.994988,3000000,1781575,79357
681.9947,3100000,1823529,41954
703.994444,3200000,1871648,48119
725.994211,3300000,1933550,61902
747.994013,3400000,2005535,71985
769.99381,3500000,2070796,65261
791.993567,3600000,2125120,54324
813.993456,3700000,2180985,55865
835.993112,3800000,2253576,72591
857.992899,3900000,2310071,56495
879.992899,4000000,2358801,48730
901.992823,4100000,2399244,40443
923.992515,4200000,2459991,60747
945.992267,4300000,2542727,82736
967.992056,4400000,2602876,60149
989.991799,4500000,2656290,53414
1011.991621,4600000,2723014,66724
1033.991351,4700000,2784277,61263
1055.991143,4800000,2852184,67907
1077.990926,4900000,2914734,62550
1099.990696,5000000,2986921,72187
1099.990718,5000001,2986921,0
