Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.150031,1001,1,1
0.299878,2001,1,0
0.449736,3001,1,0
0.599576,4001,1,0
0.749468,5001,2,1
0.899332,6001,2,0
1.049146,7001,2,0
1.19898,8001,2,0
1.348826,9001,2,0
1.498659,10001,2,0
1.648523,11001,2,0
1.798393,12001,2,0
1.948231,13001,2,0
2.098074,14001,2,0
2.247941,15001,2,0
2.39779,16001,2,0
2.547619,17001,2,0
2.697484,18001,2,0
2.847398,19001,2,0
2.997198,20001,2,0
3.147021,21001,2,0
3.296889,22001,2,0
3.446717,23001,2,0
3.59657,24001,2,0
3.746439,25001,2,0
3.89631,26001,2,0
4.046147,27001,2,0
4.19598,28001,2,0
4.345853,29001,2,0
4.495682,30001,2,0
4.645528,31001,2,0
4.795377,32001,2,0
4.945262,33001,2,0
5.095063,34001,2,0
5.24492,35001,2,0
5.394769,36001,2,0
5.544661,37001,2,0
5.694518,38001,2,0
5.844344,39001,2,0
5.994243,40001,2,0
6.144109,41001,12,10
6.294029,42001,12,0
6.44387,43001,12,0
6.59374,44001,12,0
6.743609,45001,12,0
6.893469,46001,12,0
7.043327,47001,12,0
7.193143,48001,12,0
7.342972,49001,12,0
7.492854,50001,13,1
7.642682,51001,14,1
7.792519,52001,14,0
7.942427,53001,14,0
8.092277,54001,14,0
8.242067,55001,14,0
8.391916,56001,14,0
8.541797,57001,14,0
8.691646,58001,14,0
8.841501,59001,14,0
8.991341,60001,14,0
9.141262,61001,14,0
9.291027,62001,14,0
9.440881,63001,14,0
9.590725,64001,14,0
9.740616,65001,14,0
9.890417,66001,14,0
10.040327,67001,14,0
10.190142,68001,14,0
10.339979,69001,14,0
10.489815,70001,15,1
10.639677,71001,15,0
10.789525,72001,15,0
10.939398,73001,15,0
11.08928,74001,15,0
11.239068,75001,15,0
11.388949,76001,15,0
11.538812,77001,15,0
11.688634,78001,15,0
11.838525,79001,15,0
11.988395,80001,15,0
12.138244,81001,15,0
12.288026,82001,15,0
12.437887,83001,15,0
12.587719,84001,15,0
12.737603,85001,15,0
12.887424,86001,15,0
13.03733,87001,15,0
13.187127,88001,15,0
13.336982,89001,15,0
13.486833,90001,15,0
13.636677,91001,15,0
13.78653,92001,15,0
13.936403,93001,15,0
14.086271,94001,15,0
14.23607,95001,15,0
14.38592,96001,15,0
14.535783,97001,15,0
14.685627,98001,15,0
14.83547,99001,15,0
14.985321,100001,15,0
15.135286,101001,15,0
15.28505,102001,15,0
15.434884,103001,18,3
15.584725,104001,18,0
15.734572,105001,18,0
15.884424,106001,18,0
16.034309,107001,18,0
16.184192,108001,18,0
16.333977,109001,21,3
16.483824,110001,21,0
16.633662,111001,21,0
16.783524,112001,21,0
16.93336,113001,21,0
17.083286,114001,21,0
17.233073,115001,21,0
17.382918,116001,21,0
17.532783,117001,21,0
17.682617,118001,21,0
17.832496,119001,21,0
17.982342,120001,21,0
18.132218,121001,21,0
18.282034,122001,21,0
18.431913,123001,21,0
18.581722,124001,21,0
18.731607,125001,21,0
18.881442,126001,21,0
19.031312,127001,21,0
19.181148,128001,21,0
19.330975,129001,21,0
19.480844,130001,21,0
19.630675,131001,21,0
19.780536,132001,21,0
19.930457,133001,21,0
20.080222,134001,21,0
20.230095,135001,21,0
20.379921,136001,22,1
20.529785,137001,22,0
20.67962,138001,22,0
20.829482,139001,22,0
20.979347,140001,22,0
21.129201,141001,22,0
21.279032,142001,22,0
21.428924,143001,22,0
21.57872,144001,22,0
21.728572,145001,22,0
21.878445,146001,23,1
22.028332,147001,23,0
22.178188,148001,23,0
22.327965,149001,23,0
22.478187,150001,23,0
22.627969,151001,23,0
22.777811,152001,23,0
22.927694,153001,32,9
23.077825,154001,32,0
23.227674,155001,32,0
23.37752,156001,32,0
23.527374,157001,32,0
23.677241,158001,32,0
23.827073,159001,32,0
23.976927,160001,32,0
24.126794,161001,32,0
24.276629,162001,32,0
24.426483,163001,32,0
24.576319,164001,32,0
24.726229,165001,32,0
24.876023,166001,32,0
25.025892,167001,32,0
25.175715,168001,32,0
25.325572,169001,32,0
25.475446,170001,32,0
25.625318,171001,32,0
25.775182,172001,32,0
25.924982,173001,32,0
26.074832,174001,32,0
26.224685,175001,32,0
26.37455,176001,34,2
26.524372,177001,34,0
26.674274,178001,34,0
26.824095,179001,34,0
26.973922,180001,34,0
27.12378,181001,34,0
27.273635,182001,34,0
27.423484,183001,34,0
27.573326,184001,34,0
27.723243,185001,34,0
27.873046,186001,34,0
28.022876,187001,34,0
28.172718,188001,34,0
28.322577,189001,34,0
28.472442,190001,34,0
28.622321,191001,34,0
28.772178,192001,34,0
28.921978,193001,34,0
29.07184,194001,34,0
29.221693,195001,34,0
29.371543,196001,34,0
29.521401,197001,34,0
29.671273,198001,34,0
29.821124,199001,34,0
29.970932,200001,34,0
30.120844,201001,34,0
30.270654,202001,34,0
30.4205,203001,34,0
30.570353,204001,34,0
30.72024,205001,34,0
30.870032,206001,34,0
31.019887,207001,34,0
31.169738,208001,34,0
31.319574,209001,34,0
31.469425,210001,34,0
31.619305,211001,34,0
31.769211,212001,34,0
31.918999,213001,34,0
32.068829,214001,34,0
32.218673,215001,34,0
32.368542,216001,34,0
32.518364,217001,35,1
32.668293,218001,35,0
32.818138,219001,35,0
32.967924,220001,35,0
33.117769,221001,35,0
33.267623,222001,35,0
33.417502,223001,35,0
33.567346,224001,35,0
33.717216,225001,35,0
33.86708,226001,36,1
34.016898,227001,36,0
34.166728,228001,36,0
34.316594,229001,36,0
34.466428,230001,36,0
34.616283,231001,36,0
34.766184,232001,36,0
34.91597,233001,36,0
35.065837,234001,36,0
35.215678,235001,36,0
35.365532,236001,36,0
35.515385,237001,36,0
35.665256,238001,36,0
35.815119,239001,36,0
35.964925,240001,36,0
36.114774,241001,36,0
36.264623,242001,36,0
36.414526,243001,36,0
36.564314,244001,37,1
36.714243,245001,37,0
36.864108,246001,37,0
37.013869,247001,39,2
37.163761,248001,39,0
37.313594,249001,39,0
37.463441,250001,39,0
37.613274,251001,39,0
37.763194,252001,39,0
37.912995,253001,39,0
38.062844,254001,39,0
38.212669,255001,39,0
38.362581,256001,39,0
38.512407,257001,41,2
38.662276,258001,41,0
38.81208,259001,42,1
38.961916,260001,42,0
39.111782,261001,42,0
39.261625,262001,42,0
39.411555,263001,42,0
39.561321,264001,42,0
39.711229,265001,42,0
39.861053,266001,42,0
40.010885,267001,42,0
40.16073,268001,42,0
40.310566,269001,42,0
40.460434,270001,42,0
40.610298,271001,42,0
40.760124,272001,42,0
40.909981,273001,42,0
41.059823,274001,42,0
41.209672,275001,42,0
41.359523,276001,42,0
41.50937,277001,42,0
41.659286,278001,42,0
41.809097,279001,42,0
41.958962,280001,42,0
42.108797,281001,42,0
42.258623,282001,42,0
42.40848,283001,42,0
42.558353,284001,42,0
42.708199,285001,42,0
42.858047,286001,44,2
43.007867,287001,44,0
43.157734,288001,44,0
43.307577,289001,44,0
43.457417,290001,44,0
43.607308,291001,44,0
43.757126,292001,45,1
43.907007,293001,45,0
44.056827,294001,45,0
44.206665,295001,47,2
44.35654,296001,47,0
44.506378,297001,47,0
44.656262,298001,47,0
44.806123,299001,47,0
44.955913,300001,47,0
45.10577,301001,47,0
45.255646,302001,47,0
45.405483,303001,47,0
45.555333,304001,47,0
45.705181,305001,47,0
45.855038,306001,47,0
46.004907,307001,47,0
46.154723,308001,47,0
46.304597,309001,47,0
46.45443,310001,47,0
46.604324,311001,47,0
46.754158,312001,47,0
46.904016,313001,47,0
47.053839,314001,48,1
47.20371,315001,48,0
47.353533,316001,48,0
47.503384,317001,48,0
47.653237,318001,48,0
47.803099,319001,48,0
47.952922,320001,48,0
48.102778,321001,48,0
48.252621,322001,48,0
48.402486,323001,48,0
48.552317,324001,48,0
48.702183,325001,48,0
48.85211,326001,48,0
49.001877,327001,48,0
49.151717,328001,48,0
49.301577,329001,48,0
49.451419,330001,48,0
49.601291,331001,48,0
49.751125,332001,48,0
49.901042,333001,48,0
50.050815,334001,48,0
50.200672,335001,48,0
50.350549,336001,48,0
50.500369,337001,48,0
50.650264,338001,48,0
50.800115,339001,48,0
50.949913,340001,48,0
51.099769,341001,48,0
51.249635,342001,48,0
51.399471,343001,48,0
51.549319,344001,48,0
51.699207,345001,48,0
51.849057,346001,48,0
51.998893,347001,49,1
52.148725,348001,49,0
52.298623,349001,49,0
52.448435,350001,49,0
52.598285,351001,53,4
52.748139,352001,53,0
52.897982,353001,53,0
53.047831,354001,53,0
53.197669,355001,53,0
53.347524,356001,53,0
53.497419,357001,53,0
53.647275,358001,53,0
53.797086,359001,53,0
53.946965,360001,53,0
54.096768,361001,63,10
54.246645,362001,63,0
54.396467,363001,63,0
54.546323,364001,63,0
54.696209,365001,63,0
54.84603,366001,63,0
54.995881,367001,63,0
55.145722,368001,63,0
55.295586,369001,63,0
55.445418,370001,63,0
55.59533,371001,63,0
55.745136,372001,63,0
55.894998,373001,63,0
56.044819,374001,63,0
56.194668,375001,63,0
56.344555,376001,63,0
56.494388,377001,63,0
56.644249,378001,63,0
