Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.217019,100000,0,0
10.455649,200000,0,0
15.669321,300000,0,0
20.932791,400000,0,0
26.232522,500000,0,0
31.532174,600000,0,0
36.811471,700000,0,0
42.061885,800000,0,0
47.39751,900000,0,0
52.627579,1000000,0,0
57.857239,1100000,0,0
63.130211,1200000,0,0
68.383416,1300000,0,0
73.695641,1400000,0,0
79.015543,1500000,0,0
84.294836,1600000,0,0
89.557648,1700000,0,0
94.800329,1800000,0,0
100.050669,1900000,0,0
105.301661,2000000,0,0
110.529413,2100000,0,0
115.768122,2200000,0,0
120.940209,2300000,0,0
126.106413,2400000,0,0
131.377472,2500000,0,0
136.706045,2600000,0,0
141.94827,2700000,0,0
147.265705,2800000,0,0
152.523983,2900000,0,0
157.779387,3000000,0,0
163.027072,3100000,0,0
168.27902,3200000,0,0
173.470446,3300000,0,0
178.652929,3400000,0,0
183.815231,3500000,0,0
188.951142,3600000,0,0
194.102251,3700000,0,0
199.222132,3800000,0,0
204.394498,3900000,0,0
209.618352,4000000,0,0
214.910716,4100000,0,0
220.158319,4200000,0,0
225.404169,4300000,0,0
230.627226,4400000,0,0
235.853836,4500000,0,0
241.051046,4600000,0,0
246.253566,4700000,0,0
251.510784,4800000,0,0
256.735941,4900000,0,0
261.945873,5000000,0,0
267.249657,5100000,0,0
272.505378,5200000,0,0
277.769165,5300000,0,0
283.057705,5400000,0,0
288.311759,5500000,0,0
293.517235,5600000,0,0
298.724998,5700000,0,0
303.967982,5800000,0,0
309.26369,5900000,0,0
314.505047,6000000,0,0
319.85318,6100000,0,0
325.138896,6200000,0,0
330.538315,6300000,0,0
335.911436,6400000,0,0
341.375343,6500000,0,0
346.774945,6600000,0,0
352.18789,6700000,0,0
357.584631,6800000,0,0
362.904726,6900000,0,0
368.246594,7000000,0,0
373.531839,7100000,0,0
378.851328,7200000,0,0
384.162732,7300000,0,0
389.457,7400000,0,0
394.693494,7500000,0,0
399.847461,7600000,0,0
405.027616,7700000,0,0
410.253226,7800000,0,0
415.37341,7900000,0,0
420.419432,8000000,0,0
425.626831,8100000,0,0
430.760044,8200000,0,0
435.949938,8300000,0,0
441.124682,8400000,0,0
446.36516,8500000,0,0
451.597762,8600000,0,0
456.87172,8700000,0,0
462.174535,8800000,0,0
467.408867,8900000,0,0
472.668861,9000000,0,0
477.930318,9100000,0,0
483.153786,9200000,0,0
488.384342,9300000,0,0
493.556448,9400000,0,0
498.810071,9500000,0,0
504.10802,9600000,0,0
509.406923,9700000,0,0
514.661527,9800000,0,0
519.865947,9900000,0,0
525.136564,10000000,0,0
530.35637,10100000,0,0
535.609952,10200000,0,0
540.813487,10300000,0,0
546.090048,10400000,0,0
551.397473,10500000,0,0
556.698882,10600000,0,0
562.034699,10700000,0,0
567.279961,10800000,0,0
572.528746,10900000,0,0
577.789356,11000000,0,0
582.994416,11100000,0,0
588.131361,11200000,0,0
593.392099,11300000,0,0
598.663548,11400000,0,0
603.980071,11500000,0,0
609.227518,11600000,0,0
614.465143,11700000,0,0
619.753998,11800000,0,0
625.027487,11900000,0,0
630.325629,12000000,0,0
635.648994,12100000,0,0
640.993749,12200000,0,0
646.377547,12300000,0,0
651.724365,12400000,0,0
657.058164,12500000,0,0
662.394441,12600000,0,0
667.764969,12700000,0,0
673.194039,12800000,0,0
678.575185,12900000,0,0
683.884729,13000000,0,0
689.208631,13100000,0,0
