Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.867779,100001,0,0
12.008247,200001,0,0
18.037849,300001,0,0
24.152684,400001,0,0
30.211333,500001,0,0
36.230158,600001,0,0
41.865858,700001,0,0
48.04601,800001,0,0
54.174277,900001,0,0
59.863222,1000001,0,0
65.903086,1100001,0,0
71.46801,1200001,0,0
77.321144,1300001,0,0
83.229109,1400001,0,0
88.924237,1500001,0,0
94.605802,1600001,0,0
100.370732,1700001,0,0
106.175616,1800001,0,0
112.082486,1900001,0,0
118.174711,2000001,0,0
124.065244,2100001,0,0
130.070517,2200001,0,0
135.993736,2300001,0,0
141.959929,2400001,0,0
147.795771,2500001,0,0
153.563173,2600001,0,0
159.672379,2700001,0,0
165.646808,2800001,0,0
171.468739,2900001,0,0
177.154027,3000001,0,0
182.829498,3100001,0,0
188.83267,3200001,0,0
194.570892,3300001,0,0
200.437063,3400001,0,0
206.211476,3500001,0,0
212.095637,3600001,0,0
217.670162,3700001,0,0
223.230411,3800001,0,0
229.117437,3900001,0,0
234.753818,4000001,0,0
240.66221,4100001,0,0
246.445615,4200001,0,0
252.429692,4300001,0,0
258.53578,4400001,0,0
264.706463,4500001,0,0
270.570139,4600001,0,0
276.590577,4700001,0,0
282.499054,4800001,0,0
288.468181,4900001,0,0
294.413571,5000001,0,0
300.490421,5100001,0,0
306.496586,5200001,0,0
312.56991,5300001,0,0
318.75013,5400001,0,0
324.531662,5500001,0,0
330.137135,5600001,0,0
336.007592,5700001,0,0
342.068463,5800001,0,0
347.837958,5900001,0,0
353.820448,6000001,0,0
359.857804,6100001,0,0
366.103557,6200001,0,0
372.002348,6300001,0,0
377.841195,6400001,0,0
383.495671,6500001,0,0
389.346364,6600001,0,0
395.321771,6700001,0,0
401.316846,6800001,0,0
407.26098,6900001,0,0
413.174521,7000001,0,0
418.915421,7100001,0,0
424.674247,7200001,0,0
430.37899,7300001,0,0
435.866488,7400001,0,0
441.541651,7500001,0,0
447.333073,7600001,0,0
453.038051,7700001,0,0
458.938792,7800001,0,0
464.960155,7900001,0,0
471.053759,8000001,0,0
477.255106,8100001,0,0
483.272662,8200001,0,0
489.306385,8300001,0,0
495.325685,8400001,0,0
501.413208,8500001,0,0
507.431233,8600001,0,0
513.422667,8700001,0,0
519.261222,8800001,0,0
525.12934,8900001,0,0
531.159085,9000001,0,0
537.147454,9100001,0,0
543.19852,9200001,0,0
549.018825,9300001,0,0
555.105429,9400001,0,0
561.233061,9500001,0,0
567.291287,9600001,1,1
573.292966,9700001,1,0
579.438852,9800001,1,0
585.516856,9900001,1,0
591.54108,10000001,1,0
597.654647,10100001,1,0
603.49115,10200001,1,0
