Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.246988,100001,0,0
10.502741,200001,0,0
15.763781,300001,0,0
21.012221,400001,0,0
26.259281,500001,0,0
31.50526,600001,0,0
36.755954,700001,0,0
42.001565,800001,0,0
47.247545,900001,0,0
52.565928,1000001,0,0
57.983727,1100001,0,0
63.444039,1200001,0,0
68.922224,1300001,0,0
74.389173,1400001,0,0
79.865602,1500001,0,0
85.286434,1600001,0,0
90.701698,1700001,0,0
96.133261,1800001,0,0
101.580522,1900001,0,0
107.054476,2000001,0,0
112.526665,2100001,0,0
118.108512,2200001,0,0
119.971094,2233445,0,0
