Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.838243,100001,0,0
11.887112,200001,0,0
17.726529,300001,0,0
23.439162,400001,0,0
29.384365,500001,0,0
35.013653,600001,0,0
40.730158,700001,0,0
46.701802,800001,0,0
52.528113,900001,0,0
58.338021,1000001,0,0
64.348153,1100001,0,0
70.420716,1200001,0,0
76.318454,1300001,0,0
82.211302,1400001,1,1
87.888162,1500001,1,0
93.707334,1600001,1,0
99.845374,1700001,1,0
105.825446,1800001,1,0
111.663442,1900001,1,0
117.592113,2000001,1,0
119.976446,2040278,1,0
