Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.615161,100001,0,0
1.263023,200001,0,0
1.928549,300001,0,0
2.739837,400001,0,0
3.621481,500001,0,0
4.496547,600001,0,0
5.360873,700001,0,0
6.188865,800001,0,0
7.034233,900001,0,0
7.87408,1000001,0,0
8.708723,1100001,0,0
9.574836,1200001,0,0
10.426507,1300001,0,0
11.308279,1400001,0,0
12.198451,1500001,0,0
13.097835,1600001,0,0
13.979485,1700001,0,0
14.855059,1800001,0,0
15.731939,1900001,0,0
16.637064,2000001,0,0
17.536278,2100001,0,0
18.426483,2200001,0,0
19.312643,2300001,0,0
20.183698,2400001,0,0
21.063377,2500001,0,0
21.906601,2600001,0,0
22.763371,2700001,0,0
23.55989,2800001,0,0
24.381779,2900001,0,0
25.206686,3000001,0,0
26.03976,3100001,0,0
26.88302,3200001,0,0
27.726773,3300001,0,0
28.54532,3400001,0,0
29.36997,3500001,0,0
30.179966,3600001,0,0
31.014319,3700001,0,0
31.852313,3800001,0,0
32.68536,3900001,0,0
33.534452,4000001,0,0
34.396161,4100001,0,0
35.226434,4200001,0,0
36.046265,4300001,0,0
36.865627,4400001,0,0
37.674309,4500001,0,0
38.470803,4600001,0,0
39.266591,4700001,0,0
40.065771,4800001,0,0
40.872635,4900001,0,0
41.674163,5000001,0,0
42.475204,5100001,0,0
43.288772,5200001,0,0
44.119563,5300001,0,0
44.926315,5400001,0,0
45.719257,5500001,0,0
46.52632,5600001,0,0
47.342695,5700001,0,0
48.151078,5800001,0,0
48.946671,5900001,0,0
49.755552,6000001,0,0
50.567408,6100001,0,0
51.388202,6200001,0,0
52.211105,6300001,0,0
53.027152,6400001,0,0
53.84756,6500001,0,0
54.662494,6600001,0,0
55.482293,6700001,0,0
56.289095,6800001,0,0
57.105544,6900001,0,0
57.925371,7000001,0,0
58.726186,7100001,0,0
59.537592,7200001,0,0
60.357564,7300001,0,0
61.166137,7400001,0,0
61.976511,7500001,0,0
62.792996,7600001,0,0
63.612745,7700001,0,0
64.414124,7800001,0,0
65.212202,7900001,0,0
66.010713,8000001,0,0
66.845629,8100001,0,0
67.660121,8200001,0,0
68.480436,8300001,0,0
69.278819,8400001,0,0
70.078922,8500001,0,0
70.901186,8600001,0,0
71.71777,8700001,0,0
72.539794,8800001,0,0
73.353341,8900001,0,0
74.165707,9000001,0,0
74.969396,9100001,0,0
75.763664,9200001,0,0
76.5881,9300001,0,0
77.405111,9400001,0,0
78.239237,9500001,0,0
79.05248,9600001,0,0
79.866724,9700001,0,0
80.674533,9800001,0,0
81.493087,9900001,0,0
82.313454,10000001,0,0
83.12122,10100001,0,0
83.946537,10200001,0,0
84.761013,10300001,0,0
85.577844,10400001,0,0
86.400357,10500001,0,0
87.22244,10600001,0,0
88.056475,10700001,0,0
88.880929,10800001,0,0
89.683417,10900001,0,0
90.48454,11000001,0,0
91.305274,11100001,0,0
92.124936,11200001,0,0
92.940192,11300001,0,0
93.762627,11400001,0,0
94.572379,11500001,0,0
95.39016,11600001,0,0
96.198961,11700001,0,0
97.004364,11800001,0,0
97.813576,11900001,0,0
98.630504,12000001,0,0
99.421429,12100001,0,0
100.21323,12200001,0,0
101.02727,12300001,0,0
101.810449,12400001,0,0
102.593008,12500001,0,0
103.395595,12600001,0,0
104.214392,12700001,0,0
105.036958,12800001,0,0
105.848799,12900001,0,0
106.659111,13000001,0,0
107.471427,13100001,0,0
108.273444,13200001,0,0
109.09478,13300001,0,0
109.909529,13400001,0,0
110.74165,13500001,0,0
111.571584,13600001,0,0
112.401682,13700001,0,0
113.199004,13800001,0,0
114.022693,13900001,0,0
114.845029,14000001,0,0
115.672714,14100001,0,0
116.475724,14200001,0,0
117.304108,14300001,0,0
118.137239,14400001,0,0
118.966347,14500001,0,0
119.79,14600001,0,0
120.608751,14700001,0,0
121.43317,14800001,0,0
122.246483,14900001,0,0
123.084454,15000001,0,0
123.895318,15100001,0,0
124.725147,15200001,0,0
125.518596,15300001,0,0
126.339609,15400001,0,0
127.156223,15500001,0,0
127.977329,15600001,0,0
128.799701,15700001,0,0
129.61806,15800001,0,0
130.440879,15900001,0,0
131.272279,16000001,0,0
132.064037,16100001,0,0
132.889436,16200001,0,0
133.721999,16300001,0,0
134.552242,16400001,0,0
135.386728,16500001,0,0
136.209051,16600001,0,0
137.020484,16700001,0,0
137.83933,16800001,0,0
138.666104,16900001,0,0
