Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.445052,100001,0,0
10.925613,200001,0,0
16.428533,300001,0,0
21.907935,400001,0,0
27.381341,500001,0,0
32.841588,600001,0,0
38.317016,700001,0,0
43.812512,800001,0,0
49.309505,900001,0,0
54.807362,1000001,0,0
60.298731,1100001,0,0
65.767737,1200001,0,0
71.227695,1300001,0,0
76.671982,1400001,0,0
82.12436,1500001,0,0
87.602702,1600001,0,0
93.093265,1700001,0,0
98.579678,1800001,0,0
104.049691,1900001,0,0
109.527157,2000001,0,0
114.996647,2100001,0,0
120.478419,2200001,0,0
125.960673,2300001,0,0
131.429479,2400001,0,0
136.897487,2500001,0,0
142.380914,2600001,0,0
147.845469,2700001,0,0
153.317689,2800001,0,0
158.789548,2900001,0,0
164.288295,3000001,0,0
169.758172,3100001,0,0
175.222769,3200001,0,0
180.694938,3300001,0,0
186.183705,3400001,0,0
191.657896,3500001,0,0
197.143286,3600001,0,0
202.632686,3700001,0,0
208.116042,3800001,0,0
213.596985,3900001,0,0
219.079175,4000001,0,0
224.545053,4100001,0,0
230.008711,4200001,0,0
235.492389,4300001,0,0
240.992553,4400001,0,0
246.47145,4500001,0,0
251.94177,4600001,0,0
257.405228,4700001,0,0
262.874664,4800001,0,0
268.366941,4900001,0,0
273.858647,5000001,0,0
279.350127,5100001,0,0
284.841283,5200001,0,0
290.334175,5300001,0,0
295.811114,5400001,0,0
299.964973,5475725,0,0
