Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.869568,100001,0,0
1.73115,200001,0,0
2.629438,300001,0,0
3.523334,400001,0,0
4.398087,500001,0,0
5.286132,600001,0,0
6.114177,700001,0,0
6.942096,800001,0,0
7.749266,900001,0,0
8.682618,1000001,0,0
9.561642,1100001,0,0
10.413958,1200001,0,0
11.23453,1300001,0,0
12.07175,1400001,0,0
12.890461,1500001,0,0
13.706123,1600001,0,0
14.524153,1700001,0,0
15.342181,1800001,0,0
16.196428,1900001,0,0
17.00887,2000001,0,0
17.821843,2100001,0,0
18.643685,2200001,0,0
19.474958,2300001,0,0
20.329537,2400001,0,0
21.176947,2500001,0,0
22.029016,2600001,0,0
22.846114,2700001,0,0
23.704566,2800001,0,0
24.546544,2900001,0,0
25.404176,3000001,0,0
26.236764,3100001,0,0
27.060925,3200001,0,0
27.908124,3300001,0,0
28.737247,3400001,0,0
29.571854,3500001,0,0
30.38314,3600001,0,0
31.209671,3700001,0,0
32.024562,3800001,0,0
32.863389,3900001,0,0
33.698435,4000001,0,0
34.519523,4100001,0,0
35.333791,4200001,0,0
36.15705,4300001,0,0
36.973118,4400001,0,0
37.781293,4500001,0,0
38.596349,4600001,0,0
39.413065,4700001,0,0
40.241639,4800001,0,0
41.064393,4900001,0,0
41.896832,5000001,0,0
42.706046,5100001,0,0
43.589474,5200001,0,0
44.452864,5300001,0,0
45.286852,5400001,0,0
46.143211,5500001,0,0
46.993023,5600001,0,0
47.847023,5700001,0,0
48.669912,5800001,0,0
49.505357,5900001,0,0
50.320289,6000001,0,0
51.141628,6100001,0,0
52.002316,6200001,0,0
52.8678,6300001,0,0
53.727191,6400001,0,0
54.604046,6500001,0,0
55.423457,6600001,0,0
56.276669,6700001,0,0
57.146814,6800001,0,0
58.004825,6900001,0,0
58.831986,7000001,0,0
59.709447,7100001,0,0
60.566931,7200001,0,0
61.414242,7300001,0,0
62.275704,7400001,0,0
63.133674,7500001,0,0
64.002384,7600001,0,0
64.862961,7700001,0,0
65.72959,7800001,0,0
66.580997,7900001,0,0
67.436295,8000001,0,0
68.297367,8100001,0,0
69.161044,8200001,0,0
69.981083,8300001,0,0
70.844766,8400001,0,0
71.687912,8500001,0,0
72.504498,8600001,0,0
73.305956,8700001,0,0
74.130283,8800001,0,0
74.947344,8900001,0,0
75.804175,9000001,0,0
76.649031,9100001,0,0
77.481749,9200001,0,0
78.322151,9300001,0,0
79.15107,9400001,0,0
79.983645,9500001,0,0
80.807818,9600001,0,0
81.630611,9700001,0,0
82.453902,9800001,0,0
83.290332,9900001,0,0
84.120062,10000001,0,0
84.952233,10100001,0,0
85.76701,10200001,0,0
86.604375,10300001,0,0
87.427923,10400001,0,0
88.265636,10500001,0,0
89.120553,10600001,0,0
89.991857,10700001,0,0
90.835138,10800001,0,0
91.688249,10900001,0,0
92.542084,11000001,0,0
93.370557,11100001,0,0
94.197587,11200001,0,0
95.043168,11300001,0,0
95.891228,11400001,0,0
96.724189,11500001,0,0
97.559864,11600001,0,0
98.396304,11700001,0,0
99.243843,11800001,0,0
100.075747,11900001,0,0
100.904192,12000001,0,0
101.726056,12100001,0,0
102.55616,12200001,0,0
103.406286,12300001,0,0
104.257571,12400001,0,0
105.099481,12500001,0,0
105.96455,12600001,0,0
106.792349,12700001,0,0
107.610332,12800001,0,0
108.424975,12900001,0,0
109.258347,13000001,0,0
110.108963,13100001,0,0
110.912663,13200001,0,0
111.759789,13300001,0,0
112.587216,13400001,0,0
113.439916,13500001,0,0
114.299455,13600001,0,0
115.150879,13700001,0,0
116.008861,13800001,0,0
116.863389,13900001,0,0
117.708464,14000001,0,0
118.5676,14100001,0,0
119.425505,14200001,0,0
120.268856,14300001,0,0
121.119375,14400001,0,0
121.960588,14500001,0,0
122.81289,14600001,0,0
123.675014,14700001,0,0
124.510165,14800001,0,0
125.33126,14900001,0,0
126.172099,15000001,0,0
126.99888,15100001,0,0
