Timestamp,Packets [total],Losses [Total],Losses [Difference]
5.937931,100001,0,0
11.848608,200001,0,0
17.726042,300001,0,0
23.613234,400001,0,0
29.652918,500001,0,0
35.711518,600001,0,0
41.521538,700001,0,0
47.498781,800001,0,0
53.326225,900001,0,0
59.282202,1000001,0,0
65.142275,1100001,0,0
71.101996,1200001,0,0
76.954133,1300001,0,0
83.179044,1400001,0,0
88.961328,1500001,0,0
94.932486,1600001,0,0
101.098822,1700001,0,0
107.093373,1800001,0,0
113.119274,1900001,0,0
119.076608,2000001,0,0
125.018702,2100001,0,0
130.900621,2200001,0,0
136.979665,2300001,0,0
142.969583,2400001,0,0
149.016272,2500001,0,0
155.180017,2600001,0,0
161.26066,2700001,0,0
167.236358,2800001,0,0
173.028427,2900001,0,0
179.071495,3000001,0,0
184.731557,3100001,0,0
190.55356,3200001,0,0
196.412935,3300001,0,0
202.265277,3400001,0,0
208.078349,3500001,0,0
213.942007,3600001,0,0
219.809709,3700001,0,0
225.585589,3800001,0,0
231.402811,3900001,0,0
237.311049,4000001,0,0
243.026823,4100001,0,0
248.967795,4200001,0,0
255.097388,4300001,0,0
261.054155,4400001,0,0
266.917422,4500001,0,0
272.895457,4600001,0,0
278.758192,4700001,0,0
284.660668,4800001,0,0
290.496629,4900001,0,0
296.423766,5000001,0,0
299.97591,5059667,0,0
