Timestamp,Packets [total],Losses [Total],Losses [Difference]
11.081254,1000001,0,0
21.842705,2000001,0,0
32.54671,3000001,0,0
43.319594,4000001,0,0
54.07485,5000001,0,0
64.874572,6000001,0,0
75.565407,7000001,0,0
86.347767,8000001,0,0
97.080501,9000001,0,0
107.821715,10000001,0,0
118.510046,11000001,0,0
129.232062,12000001,0,0
139.947496,13000001,0,0
150.689157,14000001,0,0
161.387285,15000001,0,0
172.119,16000001,0,0
182.807517,17000001,0,0
193.515171,18000001,0,0
204.196625,19000001,0,0
214.919062,20000001,0,0
225.585394,21000001,0,0
236.295146,22000001,0,0
246.960479,23000001,0,0
257.681788,24000001,0,0
268.351389,25000001,0,0
279.058619,26000001,0,0
289.712861,27000001,0,0
300.416394,28000001,0,0
311.095098,29000001,0,0
321.807342,30000001,0,0
332.492678,31000001,0,0
343.205321,32000001,0,0
353.88681,33000001,0,0
359.970159,33578890,0,0
