Timestamp,Packets [total],Losses [Total],Losses [Difference]
52.396966,1000001,0,0
104.803724,2000001,0,0
157.20411,3000001,0,0
209.599624,4000001,0,0
261.998197,5000001,0,0
314.388211,6000001,0,0
366.789443,7000001,0,0
419.199014,8000001,0,0
471.598535,9000001,0,0
524.002249,10000001,0,0
576.410518,11000001,0,0
628.815135,12000001,0,0
681.218109,13000001,0,0
733.619142,14000001,0,0
786.025302,15000001,0,0
838.426704,16000001,0,0
890.825745,17000001,0,0
943.226959,18000001,0,0
995.637761,19000001,0,0
1048.040738,20000001,0,0
1100.437692,21000001,0,0
1152.835026,22000001,0,0
1205.229888,23000001,0,0
1257.627277,24000001,0,0
1310.032815,25000001,0,0
1362.436882,26000001,0,0
1414.835391,27000001,0,0
1467.240169,28000001,0,0
1519.633664,29000001,0,0
1572.027572,30000001,0,0
1624.43397,31000001,0,0
1676.835123,32000001,0,0
1729.241921,33000001,0,0
1781.646799,34000001,0,0
1834.035589,35000001,0,0
1886.428853,36000001,0,0
1938.825773,37000001,0,0
1991.218392,38000001,0,0
2043.619443,39000001,0,0
2096.017545,40000001,0,0
2148.416683,41000001,0,0
2200.826172,42000001,0,0
2253.233287,43000001,0,0
2305.64473,44000001,0,0
2358.052627,45000001,0,0
2410.44946,46000001,0,0
2462.856416,47000001,0,0
2515.256492,48000001,0,0
2567.654822,49000001,0,0
2620.058001,50000001,0,0
2672.461176,51000001,0,0
2724.85535,52000001,0,0
2777.252725,53000001,0,0
2829.647651,54000001,0,0
2882.047532,55000001,0,0
2934.448193,56000001,0,0
2986.851052,57000001,0,0
3039.258692,58000001,0,0
3091.650622,59000001,0,0
3144.043813,60000001,0,0
3196.437291,61000001,0,0
3248.84722,62000001,0,0
3301.251478,63000001,0,0
3353.653916,64000001,0,0
3406.055568,65000001,0,0
3458.455343,66000001,0,0
3510.859707,67000001,0,0
3563.25286,68000001,0,0
3615.646295,69000001,0,0
3668.04206,70000001,0,0
3720.444415,71000001,0,0
3772.839576,72000001,0,0
3825.23383,73000001,0,0
3877.630984,74000001,0,0
3930.036854,75000001,0,0
3982.431685,76000001,0,0
4034.835188,77000001,0,0
4087.236388,78000001,0,0
4139.633918,79000001,0,0
4192.039222,80000001,0,0
4244.441696,81000001,0,0
4296.841546,82000001,0,0
4349.235924,83000001,0,0
4401.626585,84000001,0,0
4454.026817,85000001,0,0
4506.440008,86000001,0,0
4558.841816,87000001,0,0
4611.244177,88000001,0,0
4663.63873,89000001,0,0
4716.040831,90000001,0,0
4768.439528,91000001,0,0
4820.846316,92000001,0,0
4873.252744,93000001,0,0
4925.645686,94000001,0,0
4978.048949,95000001,0,0
5030.445901,96000001,0,0
5082.845511,97000001,0,0
5135.240619,98000001,0,0
5187.648594,99000001,0,0
5240.046371,100000001,0,0
5292.449641,101000001,0,0
5344.851797,102000001,0,0
5397.252554,103000001,0,0
5399.960324,103051687,0,0
