Timestamp,Packets [total],Losses [Total],Losses [Difference]
12.740382,1000001,0,0
25.623176,2000001,0,0
38.6598,3000001,0,0
52.301036,4000001,0,0
65.876258,5000001,0,0
79.501511,6000001,0,0
93.008527,7000001,0,0
106.623597,8000001,0,0
120.2281,9000001,0,0
133.878685,10000001,0,0
147.518832,11000001,0,0
161.112819,12000001,0,0
174.739238,13000001,0,0
188.338184,14000001,0,0
201.962141,15000001,0,0
215.52863,16000001,0,0
229.161414,17000001,0,0
242.67579,18000001,0,0
256.220055,19000001,0,0
269.765588,20000001,0,0
283.303241,21000001,0,0
296.868822,22000001,0,0
310.411091,23000001,0,0
324.034399,24000001,0,0
337.611836,25000001,0,0
351.130784,26000001,0,0
359.597835,26621738,0,0
